Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
0,12.38,9.16,0.00,0.00,0.00,0.00,12.7,93.0,99.59,0,725,3.260,57.0,104.1,0
160,12.67,9.45,0.00,0.00,0.00,0.00,12.7,93.0,99.59,0,725,3.272,57.0,104.1,0
320,12.96,9.74,0.00,0.00,0.00,0.00,12.7,93.0,99.59,0,725,3.280,57.0,104.1,0
520,13.33,10.11,0.00,0.00,0.00,0.00,12.7,93.0,99.47,0,726,3.284,57.0,104.1,0
719,13.70,10.47,0.00,0.00,0.00,0.00,12.8,93.0,98.64,0,732,3.276,57.0,104.1,0
880,13.79,10.77,0.00,0.00,0.00,0.00,12.7,93.0,98.64,0,732,3.276,57.0,104.1,0
1040,11.72,11.06,0.00,0.00,0.00,0.00,12.8,93.0,98.64,0,732,3.216,57.0,104.1,0
1200,11.43,11.35,0.00,0.00,0.00,0.00,12.7,93.0,98.91,0,730,3.200,57.0,104.1,0
1400,11.06,11.72,0.00,0.00,0.00,0.00,12.8,92.2,99.47,0,726,3.188,57.0,104.1,0
1600,10.70,12.09,0.00,0.00,0.00,0.00,12.7,92.2,99.04,0,729,3.204,57.0,104.1,0
1800,10.33,12.45,0.00,0.00,0.00,0.00,12.7,92.2,99.47,0,726,3.184,57.0,104.1,0
2000,9.96,12.82,0.00,0.00,0.00,0.00,12.7,92.2,97.54,0,726,3.152,57.0,104.1,0
2200,9.60,13.18,0.00,0.00,0.00,0.00,12.8,92.2,97.81,0,724,3.140,57.0,104.1,0
2360,11.27,13.48,0.00,0.00,0.00,0.00,12.8,92.2,98.22,0,721,3.180,57.0,104.1,0
2521,11.56,11.45,0.00,0.00,0.00,0.00,12.7,92.2,99.87,0,723,3.192,57.0,104.1,0
2720,11.93,11.08,0.00,0.00,0.00,0.00,12.7,92.2,97.81,0,724,3.200,57.0,104.1,0
2879,12.22,10.79,0.00,0.00,0.00,0.00,12.7,92.2,97.81,0,724,3.208,57.0,104.1,0
3080,12.58,10.42,0.00,0.00,0.00,0.00,12.8,92.2,97.41,0,727,3.204,57.0,104.1,0
3279,12.95,12.28,0.00,0.00,0.00,0.00,12.7,92.2,97.28,0,728,3.208,57.0,104.1,0
3439,13.24,12.57,0.00,0.00,0.00,0.00,12.8,92.2,97.41,0,727,3.212,57.0,104.1,0
3600,13.54,12.86,0.00,0.00,0.00,0.00,12.7,92.2,97.69,0,725,3.228,57.0,104.1,0
3800,13.90,13.23,0.00,0.00,0.00,0.00,12.8,92.2,97.69,0,725,3.232,57.0,104.1,0
4001,14.16,13.59,0.00,0.00,0.00,0.00,12.7,92.2,97.13,0,729,3.236,57.0,104.1,0
4200,12.11,13.96,0.00,0.00,0.00,0.00,12.7,92.2,97.28,0,728,3.176,57.0,104.1,0
4400,11.75,14.33,0.00,0.00,0.00,0.00,12.8,92.2,97.28,0,728,3.160,57.0,104.1,0
4561,11.45,14.62,0.00,0.00,0.00,0.00,12.8,92.2,95.76,0,725,3.136,57.0,104.1,0
4761,11.09,12.74,0.00,0.00,0.00,0.00,12.8,92.2,96.44,0,720,3.124,57.0,104.1,0
4960,12.39,12.37,0.00,0.00,0.00,0.00,12.8,92.2,96.69,0,718,3.160,57.0,104.1,0
5121,12.68,12.08,0.00,0.00,0.00,0.00,12.8,92.2,96.56,0,719,3.160,57.0,104.1,0
5320,13.05,11.71,0.00,0.00,0.00,0.00,12.8,92.2,96.84,0,717,3.176,57.0,104.1,0
5480,13.34,13.16,0.00,0.00,0.00,0.00,12.8,92.2,96.97,0,716,3.184,57.0,104.1,0
5680,13.71,13.53,0.00,0.00,0.00,0.00,12.8,92.2,96.84,0,717,3.196,57.0,104.1,0
5840,14.00,13.82,0.00,0.00,0.00,0.00,12.8,92.2,96.29,0,721,3.204,57.0,104.1,0
