Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
6001,14.29,14.11,0.00,0.00,0.00,0.00,12.8,92.2,96.16,0,722,3.208,57.0,104.1,0
6162,14.59,14.41,0.00,0.00,0.00,0.00,12.8,92.2,96.16,0,722,3.216,57.0,104.1,0
6361,14.95,14.77,0.00,0.00,0.00,0.00,12.8,92.2,97.94,0,723,3.228,57.0,104.1,0
6520,15.25,15.06,0.00,0.00,0.00,0.00,12.8,91.5,96.16,0,722,3.240,57.0,104.1,0
6680,15.39,15.36,0.00,0.00,0.00,0.00,12.8,91.5,95.63,0,726,3.224,57.0,104.1,0
6840,13.44,15.63,0.00,0.00,0.00,0.00,12.8,91.5,96.16,0,722,3.176,57.0,104.1,0
7000,13.14,13.82,0.00,0.00,0.00,0.00,12.8,91.5,96.29,0,721,3.168,57.0,104.1,0
7160,12.85,13.53,0.00,0.00,0.00,0.00,12.7,91.5,96.69,0,718,3.164,57.0,104.1,0
7320,12.56,13.23,0.00,0.00,0.00,0.00,12.8,91.5,96.56,0,719,3.156,57.0,104.1,0
7482,12.26,12.94,0.00,0.00,0.00,0.00,12.8,91.5,98.49,0,719,3.156,57.0,104.1,0
10593,11.90,12.57,0.00,0.00,0.00,0.00,12.8,91.5,96.56,0,719,3.140,57.0,104.1,0
10760,14.97,14.90,0.00,0.00,0.00,0.00,12.8,91.5,96.03,0,723,3.208,57.8,104.1,0
10922,15.19,15.12,0.00,0.00,0.00,0.00,12.9,91.5,96.16,0,722,3.216,57.8,104.1,0
11120,15.44,15.40,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.224,57.8,104.1,0
11279,13.56,15.62,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.172,57.8,104.1,0
11439,13.34,13.81,0.00,0.00,0.00,0.00,12.9,91.5,96.16,0,722,3.164,57.8,104.1,0
11600,13.12,13.59,0.00,0.00,0.00,0.00,12.8,91.5,96.44,0,720,3.160,57.8,104.1,0
11760,12.90,13.37,0.00,0.00,0.00,0.00,12.8,91.5,96.84,0,717,3.152,57.8,104.1,0
11920,12.68,13.15,0.00,0.00,0.00,0.00,12.9,91.5,97.24,0,714,3.144,57.8,104.1,0
12080,12.46,12.93,0.00,0.00,0.00,0.00,12.9,91.5,96.84,0,717,3.140,57.8,104.1,0
12280,13.93,12.65,0.00,0.00,0.00,0.00,12.9,91.5,97.09,0,715,3.180,57.8,104.1,0
12479,14.20,14.36,0.00,0.00,0.00,0.00,12.9,91.5,96.97,0,716,3.188,57.8,104.1,0
12639,14.42,14.58,0.00,0.00,0.00,0.00,12.8,91.5,96.97,0,716,3.192,57.8,104.1,0
12800,14.64,14.80,0.00,0.00,0.00,0.00,12.8,91.5,96.56,0,719,3.200,57.8,104.1,0
12961,14.86,15.02,0.00,0.00,0.00,0.00,12.8,91.5,96.44,0,720,3.208,57.8,104.1,0
13160,15.14,15.30,0.00,0.00,0.00,0.00,12.9,91.5,96.03,0,723,3.212,57.8,104.1,0
13321,15.34,15.52,0.00,0.00,0.00,0.00,12.9,91.5,96.03,0,723,3.224,57.8,104.1,0
13520,13.42,15.76,0.00,0.00,0.00,0.00,12.9,91.5,96.29,0,721,3.168,57.8,104.1,0
13720,13.15,13.79,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.160,57.8,104.1,0
13880,12.93,13.57,0.00,0.00,0.00,0.00,12.8,91.5,96.84,0,717,3.156,57.8,104.1,0
14080,12.65,13.30,0.00,0.00,0.00,0.00,12.9,91.5,96.69,0,718,3.144,57.8,104.1,0
14279,14.12,13.02,0.00,0.00,0.00,0.00,12.9,91.5,96.56,0,719,3.184,57.8,104.1,0
14440,14.34,12.80,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.192,57.8,104.1,0
14600,14.56,12.58,0.00,0.00,0.00,0.00,12.9,91.5,96.29,0,721,3.196,57.8,104.1,0
14760,14.78,14.35,0.00,0.00,0.00,0.00,12.9,91.5,96.03,0,723,3.204,57.8,104.1,0
14963,15.05,14.62,0.00,0.00,0.00,0.00,12.9,91.5,96.69,0,718,3.212,57.8,104.1,0
15161,15.33,14.90,0.00,0.00,0.00,0.00,12.9,91.5,96.56,0,719,3.220,57.8,104.1,0
15361,15.55,15.17,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.224,57.8,104.1,0
15560,13.58,15.45,0.00,0.00,0.00,0.00,12.9,91.5,96.29,0,721,3.172,57.8,104.1,0
15720,13.36,15.67,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.164,57.8,104.1,0
15880,13.14,14.02,0.00,0.00,0.00,0.00,12.9,91.5,96.03,0,723,3.160,57.8,104.1,0
16041,12.93,13.80,0.00,0.00,0.00,0.00,12.9,91.5,96.03,0,723,3.152,57.8,104.1,0
16240,12.65,13.53,0.00,0.00,0.00,0.00,12.9,91.5,96.29,0,721,3.144,57.8,104.1,0
16401,12.43,13.31,0.00,0.00,0.00,0.00,12.9,91.5,96.44,0,720,3.140,57.8,104.1,0
16600,13.78,13.03,0.00,0.00,0.00,0.00,12.9,91.5,96.56,0,719,3.132,57.8,104.1,0
16799,14.06,14.44,0.00,0.00,0.00,0.00,12.9,91.5,96.69,0,718,3.184,57.8,104.1,0
16959,14.28,14.66,0.00,0.00,0.00,0.00,12.9,91.5,96.97,0,716,3.188,57.8,104.1,0
17119,14.50,14.88,0.00,0.00,0.00,0.00,12.9,91.5,97.09,0,715,3.196,57.8,104.1,0
17280,14.72,15.10,0.00,0.00,0.00,0.00,12.9,91.5,96.84,0,717,3.200,57.8,104.1,0
17440,14.94,15.32,0.00,0.00,0.00,0.00,12.9,91.5,96.69,0,718,3.208,57.8,104.1,0
17601,15.16,15.54,0.00,0.00,0.00,0.00,12.9,91.5,96.69,0,718,3.216,57.8,104.1,0
17801,15.42,15.81,0.00,0.00,0.00,0.00,12.9,91.5,96.69,0,718,3.220,57.8,103.3,0
18000,13.50,14.00,0.00,0.00,0.00,0.00,13.0,91.5,96.29,0,721,3.168,57.8,103.3,0
18201,13.22,13.73,0.00,0.00,0.00,0.00,13.0,91.5,96.03,0,723,3.164,57.8,103.3,0
18401,12.95,13.45,0.00,0.00,0.00,0.00,12.9,91.5,96.29,0,721,3.152,57.8,104.1,0
18601,12.67,13.18,0.00,0.00,0.00,0.00,12.9,91.5,96.16,0,722,3.144,57.8,104.1,0
18802,14.28,12.91,0.00,0.00,0.00,0.00,13.0,91.5,97.24,0,714,3.196,57.8,104.1,0
19001,14.60,14.33,0.00,0.00,0.00,0.00,12.9,91.5,99.74,0,710,3.220,57.8,104.1,0
19199,14.96,14.69,0.00,0.00,0.00,0.00,13.0,91.5,101.27,0,713,3.280,57.8,104.1,0
19359,15.26,14.99,0.00,0.00,0.00,0.00,12.7,91.5,104.87,0,715,3.340,57.8,104.1,0
19519,15.55,15.28,0.00,0.00,0.00,0.00,12.7,91.5,107.71,0,722,3.420,57.8,104.1,0
19680,15.79,15.57,0.00,0.00,0.00,0.00,12.7,91.5,110.78,0,727,3.488,57.8,104.1,0
19841,13.78,15.86,0.00,0.00,0.00,0.00,12.7,91.5,109.43,0,736,3.524,57.8,103.3,0
20040,13.41,13.91,0.00,0.00,0.00,0.00,12.8,91.5,110.42,0,742,3.544,57.8,103.3,0
20202,13.12,13.62,0.00,0.00,0.00,0.00,12.7,91.5,110.12,0,744,3.548,57.8,103.3,0
20402,12.75,13.25,0.00,0.00,0.00,0.00,12.9,91.5,110.72,0,740,3.560,57.8,104.1,0
20601,12.39,12.89,0.00,0.00,0.00,0.00,12.8,91.5,110.72,0,740,3.556,57.8,104.1,0
20761,12.09,12.59,0.00,0.00,0.00,0.00,12.9,91.5,115.72,0,732,3.528,57.8,104.1,0
20920,11.80,12.30,0.00,0.00,0.00,0.00,12.8,91.5,135.81,0,726,3.696,57.8,103.3,0
21081,11.51,12.01,0.00,0.00,0.00,0.00,12.8,91.5,206.77,0,732,5.168,57.8,103.3,0
21280,13.50,13.67,0.00,0.00,0.00,0.00,13.0,91.5,306.96,0,846,7.656,57.8,104.1,0
21440,14.14,12.03,0.00,0.00,0.00,0.00,13.2,91.5,203.15,0,1121,7.860,57.8,104.1,0
21640,11.21,10.72,0.00,0.00,0.00,0.00,13.2,91.5,154.50,0,1573,6.452,57.8,104.1,0
21800,9.99,9.51,0.00,0.00,0.00,0.00,13.2,91.5,143.35,0,1860,5.800,57.8,103.3,0
21961,8.66,8.18,0.00,0.00,0.00,0.00,13.2,91.5,136.89,0,1978,5.176,57.8,103.3,0
22160,7.09,6.60,0.00,0.00,0.00,0.00,13.2,91.5,115.72,0,1956,4.376,57.8,103.3,0
22320,6.11,5.63,0.00,0.00,0.00,0.00,13.2,91.5,108.30,0,1795,3.788,57.8,103.3,0
22481,5.33,4.85,0.00,0.00,0.00,0.00,13.2,91.5,112.62,0,1578,3.524,57.8,103.3,0
22679,4.52,4.04,0.00,0.00,0.00,0.00,13.2,91.5,124.60,0,1315,3.320,57.8,103.3,0
22841,4.01,3.53,0.00,0.00,0.00,0.00,13.1,91.5,151.32,0,1092,3.700,57.8,103.3,0
23040,6.26,5.87,0.00,0.00,0.00,0.00,12.9,91.5,202.05,0,811,4.736,57.8,103.3,0
23200,6.66,6.27,0.00,0.00,0.00,0.00,12.6,91.5,265.19,0,665,5.436,57.8,103.3,0
23361,7.10,6.71,0.00,0.00,0.00,0.00,12.3,91.5,588.83,0,533,8.760,57.8,103.3,0
23561,7.85,7.46,0.00,0.00,0.00,0.00,12.6,91.5,452.28,0,611,11.820,57.8,103.3,0
23761,8.84,8.39,0.00,0.00,0.00,0.00,12.9,91.5,167.66,0,1027,9.100,57.8,103.3,0
23961,8.84,5.85,0.00,0.00,0.00,0.00,13.2,91.5,152.23,0,1341,7.280,58.5,103.3,3
24160,5.36,4.40,0.00,0.00,0.00,0.00,13.2,91.5,147.40,0,1479,6.136,58.5,103.3,3
24320,4.28,3.32,0.00,0.00,0.00,0.00,13.2,91.5,152.33,0,1504,5.576,58.5,103.3,3
24480,3.29,2.33,0.00,0.00,0.00,0.00,13.3,91.5,156.47,0,1482,5.156,58.5,103.3,3
24680,2.17,1.21,0.00,0.00,0.00,0.00,13.2,91.5,156.91,0,1416,4.800,58.5,103.3,3
24880,1.24,2.86,0.00,0.00,0.00,0.00,13.2,91.5,61.51,0,1264,2.988,58.5,103.3,4
25080,0.59,3.51,0.00,0.00,0.00,0.00,13.2,91.5,66.35,0,1130,3.012,58.5,103.3,4
25281,0.02,3.33,0.00,0.00,0.00,0.00,13.2,91.5,64.84,0,1135,2.612,58.5,103.3,4
25481,2.24,1.48,0.00,0.00,0.00,0.00,13.2,91.5,66.54,0,1106,2.484,58.5,103.3,4
25681,2.70,1.02,0.00,0.00,0.00,0.00,13.2,91.5,69.76,0,1035,2.360,58.5,103.3,4
25881,3.15,0.61,0.00,0.00,0.00,0.00,13.1,91.5,76.64,0,942,2.260,57.8,103.3,5
26081,3.52,2.33,0.00,0.00,0.00,0.00,12.9,91.5,87.41,0,826,2.188,57.8,103.3,5
26283,3.82,2.51,0.00,0.00,0.00,0.00,12.7,91.5,101.69,0,710,2.428,57.8,104.1,5
26481,4.09,2.70,0.00,0.00,0.00,0.00,12.6,91.5,108.09,0,668,2.604,57.8,104.1,5
26681,4.37,2.88,0.00,0.00,0.00,0.00,12.7,91.5,113.79,0,659,2.912,57.8,104.1,5
26881,4.72,3.06,0.00,0.00,0.00,0.00,12.7,91.5,111.42,0,673,3.136,57.8,103.3,3
27081,5.08,3.24,0.00,0.00,0.00,0.00,12.8,91.5,106.82,0,702,3.184,57.8,103.3,3
27279,5.45,3.43,0.00,0.00,0.00,0.00,12.8,91.5,102.22,0,720,3.204,58.5,103.3,3
27440,5.74,3.57,0.00,0.00,0.00,0.00,12.9,91.5,104.00,0,721,3.200,58.5,103.3,3
27602,6.03,3.72,0.00,0.00,0.00,0.00,13.0,91.5,105.93,0,721,3.212,58.5,103.3,3
27801,6.40,4.03,0.00,0.00,0.00,0.00,13.0,91.5,126.23,0,715,3.264,58.5,103.3,0
28001,6.77,4.40,0.00,0.00,0.00,0.00,12.9,91.5,195.69,0,667,4.668,58.5,103.3,0
28203,7.21,4.84,0.00,0.00,0.00,0.00,12.8,91.5,408.31,0,653,7.428,58.5,103.3,0
28401,7.90,5.53,0.00,0.00,0.00,0.00,13.1,91.5,307.66,0,826,9.580,58.5,103.3,0
28601,6.32,4.29,0.00,0.00,0.00,0.00,13.4,91.5,174.41,0,1242,7.624,58.5,103.3,0
28802,4.86,2.82,0.00,0.00,0.00,0.00,13.4,91.5,161.38,0,1480,6.528,58.5,103.3,0
29002,3.43,1.39,0.00,0.00,0.00,0.00,13.4,91.5,163.21,0,1540,5.780,58.5,103.3,0
29201,2.13,0.10,0.00,0.00,0.00,0.00,13.4,91.5,174.52,0,1464,5.344,58.5,103.3,0
29400,0.97,0.96,0.00,0.00,0.00,0.00,13.4,91.5,194.44,0,1307,5.292,58.5,103.3,0
29560,3.31,1.83,0.00,0.00,0.00,0.00,13.4,91.5,210.65,0,1180,5.780,58.5,103.3,0
29720,4.14,2.65,0.00,0.00,0.00,0.00,13.3,91.5,223.24,0,1101,6.252,58.5,103.3,0
29880,4.98,3.49,0.00,0.00,0.00,0.00,13.3,91.5,224.36,0,1046,6.588,58.5,103.3,4
30080,5.98,4.50,0.00,0.00,0.00,0.00,13.4,91.5,216.90,0,1050,6.836,58.5,103.3,4
30280,7.10,5.61,0.00,0.00,0.00,0.00,13.4,91.5,190.31,0,1204,6.688,58.5,103.3,4
30481,4.80,6.80,0.00,0.00,0.00,0.00,13.4,92.2,186.24,0,1275,6.132,58.5,103.3,4
30680,3.59,4.60,0.00,0.00,0.00,0.00,13.4,92.2,167.02,0,1405,5.812,58.5,103.3,4
30840,2.60,3.62,0.00,0.00,0.00,0.00,13.4,92.2,163.59,0,1460,5.404,58.5,103.3,9
31040,1.39,2.41,0.00,0.00,0.00,0.00,13.4,92.2,157.57,0,1551,5.052,58.5,103.3,9
31241,2.38,1.18,0.00,0.00,0.00,0.00,13.4,92.2,138.18,0,1618,4.700,58.5,103.3,9
31442,3.50,3.92,0.00,0.00,0.00,0.00,13.4,92.2,113.85,0,1671,4.164,58.5,103.3,9
31641,0.50,1.02,0.00,0.00,0.00,0.00,13.4,92.2,101.39,0,1712,3.456,58.5,103.3,9
31840,1.96,0.17,0.00,0.00,0.00,0.00,13.4,92.2,89.25,0,1727,3.036,58.5,103.3,13
32042,2.88,2.99,0.00,0.00,0.00,0.00,13.4,92.2,83.76,0,1757,2.716,58.5,103.3,13
32241,3.76,3.86,0.00,0.00,0.00,0.00,13.4,92.2,73.78,0,1750,2.480,58.5,103.3,13
32440,4.58,4.69,0.00,0.00,0.00,0.00,13.4,92.2,65.29,0,1744,2.228,58.5,103.3,13
32641,3.26,5.51,0.00,0.00,0.00,0.00,13.4,92.2,46.66,0,1696,2.020,58.5,103.3,13
32840,2.45,3.55,0.00,0.00,0.00,0.00,13.4,92.2,43.63,0,1623,1.740,57.8,103.3,15
33041,1.74,2.84,0.00,0.00,0.00,0.00,13.4,92.2,45.86,0,1423,1.148,57.8,103.3,15
33241,1.16,2.31,0.00,0.00,0.00,0.00,13.2,92.2,64.78,0,1093,1.756,57.8,103.3,15
33440,1.13,4.01,0.00,0.00,0.00,0.00,12.9,92.2,107.90,0,888,1.944,57.8,103.3,15
33601,3.07,4.30,0.00,0.00,0.00,0.00,12.8,92.2,116.86,0,808,2.896,57.8,103.3,15
33802,3.38,4.61,0.00,0.00,0.00,0.00,12.8,92.2,111.01,0,763,2.976,57.8,103.3,16
34002,1.63,4.89,0.00,0.00,0.00,0.00,12.8,92.2,99.72,0,752,2.904,57.8,103.3,16
34200,1.36,2.83,0.00,0.00,0.00,0.00,12.8,92.2,95.76,0,754,2.816,57.8,103.3,16
34400,1.08,2.56,0.00,0.00,0.00,0.00,12.8,92.2,95.38,0,757,2.804,57.8,103.3,16
34600,0.81,2.28,0.00,0.00,0.00,0.00,12.7,92.2,94.15,0,767,2.780,57.8,103.3,16
34761,0.59,2.07,0.00,0.00,0.00,0.00,12.7,92.2,93.41,0,773,2.780,57.8,103.3,16
34962,0.31,1.79,0.00,0.00,0.00,0.00,12.8,92.2,95.38,0,757,2.736,58.5,103.3,14
35162,1.87,1.63,0.00,0.00,0.00,0.00,12.8,92.2,95.69,0,740,2.792,58.5,103.3,14
35361,2.14,3.45,0.00,0.00,0.00,0.00,12.7,92.2,99.32,0,727,2.808,58.5,103.3,14
35522,2.36,3.67,0.00,0.00,0.00,0.00,12.7,92.2,99.74,0,724,2.856,58.5,103.3,14
35722,2.72,4.04,0.00,0.00,0.00,0.00,12.8,92.2,98.91,0,730,2.892,58.5,103.3,14
35921,3.09,4.40,0.00,0.00,0.00,0.00,12.7,92.2,98.11,0,736,2.940,58.5,103.3,10
36121,3.46,4.77,0.00,0.00,0.00,0.00,12.7,92.2,97.96,0,737,2.952,58.5,103.3,10
36323,3.82,5.13,0.00,0.00,0.00,0.00,12.9,92.2,98.36,0,734,2.960,58.5,103.3,10
36521,4.19,5.50,0.00,0.00,0.00,0.00,12.7,92.2,98.36,0,734,2.940,58.5,103.3,10
36721,4.55,5.87,0.00,0.00,0.00,0.00,12.8,92.2,98.91,0,730,2.952,58.5,103.3,10
36921,4.92,6.23,0.00,0.00,0.00,0.00,12.9,92.2,98.91,0,730,2.968,58.5,103.3,6
37121,5.29,6.60,0.00,0.00,0.00,0.00,12.8,92.2,99.19,0,728,2.988,58.5,103.3,6
37320,5.65,6.96,0.00,0.00,0.00,0.00,12.9,92.2,99.32,0,727,3.004,58.5,103.3,6
37480,5.95,7.26,0.00,0.00,0.00,0.00,13.0,92.2,101.10,0,728,3.192,58.5,103.3,6
37642,6.24,7.55,0.00,0.00,0.00,0.00,13.0,92.2,179.25,0,736,4.348,58.5,103.3,6
37842,6.71,8.02,0.00,0.00,0.00,0.00,13.2,92.2,348.45,0,813,7.348,58.5,103.3,4
38043,7.53,8.84,0.00,0.00,0.00,0.00,13.4,92.2,303.86,0,946,8.880,58.5,103.3,4
38241,5.62,7.00,0.00,0.00,0.00,0.00,13.5,92.2,212.62,0,1267,8.000,58.5,103.3,4
38442,4.14,5.52,0.00,0.00,0.00,0.00,13.3,92.2,192.34,0,1444,7.076,58.5,103.3,4
38642,2.66,4.05,0.00,0.00,0.00,0.00,13.4,92.2,189.27,0,1504,6.332,58.5,103.3,4
38843,1.27,2.65,0.00,0.00,0.00,0.00,13.4,92.2,192.24,0,1517,5.976,58.5,103.3,6
39041,2.24,1.28,0.00,0.00,0.00,0.00,13.4,92.2,196.49,0,1477,5.900,58.5,103.3,6
39241,3.53,4.50,0.00,0.00,0.00,0.00,13.2,92.2,203.08,0,1388,6.036,58.5,103.3,6
39442,4.83,5.79,0.00,0.00,0.00,0.00,13.4,92.2,205.69,0,1384,6.364,58.5,103.3,6
39641,6.24,7.21,0.00,0.00,0.00,0.00,13.5,92.2,184.90,0,1547,6.336,58.5,103.3,6
39840,4.41,5.24,0.00,0.00,0.00,0.00,13.4,92.2,182.47,0,1583,5.944,58.5,103.3,13
40000,3.24,4.07,0.00,0.00,0.00,0.00,13.4,92.2,175.43,0,1694,5.716,58.5,103.3,13
40202,1.72,2.55,0.00,0.00,0.00,0.00,13.4,92.2,179.25,0,1774,5.548,58.5,103.3,13
40401,4.19,4.55,0.00,0.00,0.00,0.00,13.3,93.0,186.03,0,1881,5.616,58.5,103.3,13
40601,5.94,6.30,0.00,0.00,0.00,0.00,13.4,93.0,186.60,0,1972,5.804,58.5,103.3,13
40801,7.89,8.25,0.00,0.00,0.00,0.00,13.4,93.0,185.90,0,2099,6.056,58.5,103.3,17
41002,9.00,9.16,0.00,0.00,0.00,0.00,13.4,93.0,187.00,0,2198,6.088,58.5,103.3,17
41201,5.52,5.05,0.00,0.00,0.00,0.00,13.4,93.0,181.79,0,2307,5.872,58.5,103.3,17
41362,3.73,3.25,0.00,0.00,0.00,0.00,13.1,93.0,180.62,0,2391,5.668,58.5,103.3,17
41562,1.45,0.98,0.00,0.00,0.00,0.00,13.4,92.2,180.43,0,2478,5.468,58.5,103.3,17
41762,-0.88,-1.35,0.00,0.00,0.00,0.00,13.4,92.2,178.84,0,2570,5.252,58.5,103.3,17
41960,1.08,2.51,0.00,0.00,0.00,0.00,13.5,92.2,67.30,0,2641,3.820,58.5,103.3,21
42121,1.67,2.91,0.00,0.00,0.00,0.00,13.4,92.2,66.94,0,2634,2.156,58.5,103.3,21
42320,1.67,2.91,0.00,0.00,0.00,0.00,13.5,92.2,62.17,0,2345,2.032,58.5,103.3,21
42481,1.72,3.02,0.00,0.00,0.00,0.00,13.4,92.2,57.21,0,2111,2.088,58.5,103.3,21
42640,2.54,3.84,0.00,0.00,0.00,0.00,13.5,92.2,107.45,0,2016,2.704,58.5,103.3,21
42800,3.51,4.80,0.00,0.00,0.00,0.00,13.4,92.2,210.57,0,2051,5.140,57.8,103.3,23
42962,4.18,5.47,0.00,0.00,0.00,0.00,13.4,92.2,222.77,0,1920,6.040,57.8,103.3,23
43160,4.18,5.47,0.00,0.00,0.00,0.00,13.5,92.2,233.77,0,1693,6.624,57.8,103.3,23
43320,4.18,5.47,0.00,0.00,0.00,0.00,13.5,92.2,218.36,0,1717,7.060,58.5,103.3,23
43520,4.18,5.47,0.00,0.00,0.00,0.00,13.5,92.2,225.12,0,1721,6.992,58.5,103.3,23
43680,4.18,5.47,0.00,0.00,0.00,0.00,13.4,92.2,219.63,0,1802,6.940,58.5,103.3,23
43841,1.14,1.85,0.00,0.00,0.00,0.00,13.5,92.2,220.29,0,1828,6.724,58.5,103.3,25
44002,-0.47,0.25,0.00,0.00,0.00,0.00,13.5,92.2,218.98,0,1858,6.572,58.5,103.3,25
44202,3.24,2.75,0.00,0.00,0.00,0.00,13.5,92.2,212.37,0,1929,6.676,58.5,103.3,25
44401,5.25,4.76,0.00,0.00,0.00,0.00,13.5,92.2,200.50,0,1967,6.564,58.5,103.3,25
44560,6.91,6.41,0.00,0.00,0.00,0.00,13.5,92.2,192.21,0,1994,6.468,58.5,103.3,25
44720,8.10,7.70,0.00,0.00,0.00,0.00,13.5,92.2,160.47,0,2025,5.888,58.5,103.3,25
44880,8.10,7.70,0.00,0.00,0.00,0.00,13.5,92.2,82.07,0,2047,4.460,58.5,103.3,28
45041,8.10,7.70,0.00,0.00,0.00,0.00,13.5,92.2,56.58,0,2037,3.144,58.5,103.3,28
45200,8.10,7.70,0.00,0.00,0.00,0.00,13.5,92.2,50.79,0,2050,2.532,58.5,103.3,28
45401,8.10,7.70,0.00,0.00,0.00,0.00,13.5,92.2,51.79,0,2011,2.168,58.5,103.3,28
45600,5.72,5.13,0.00,0.00,0.00,0.00,13.5,92.2,50.90,0,2019,1.932,58.5,103.3,28
45801,4.72,4.12,0.00,0.00,0.00,0.00,13.5,92.2,49.67,0,1985,1.744,57.8,103.3,30
