Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
36961,1.04,1.11,0.00,0.00,0.00,0.00,12.6,99.8,97.60,0,754,2.940,55.5,107.2,15
37161,1.40,1.48,0.00,0.00,0.00,0.00,12.6,99.8,98.66,0,746,2.924,55.5,107.2,15
37361,1.77,1.84,0.00,0.00,0.00,0.00,12.8,99.8,99.04,0,743,2.924,55.5,107.2,15
37521,2.06,2.14,0.00,0.00,0.00,0.00,12.8,99.8,99.72,0,738,2.936,55.5,107.2,15
37681,2.36,2.43,0.00,0.00,0.00,0.00,12.7,99.8,99.59,0,739,2.944,55.5,107.2,15
37841,2.65,2.72,0.00,0.00,0.00,0.00,12.7,99.8,99.04,0,743,2.948,55.5,107.2,15
38001,2.94,3.01,0.00,0.00,0.00,0.00,12.8,99.8,99.19,0,742,2.960,55.5,107.2,15
38161,3.23,3.31,0.00,0.00,0.00,0.00,12.9,99.8,99.59,0,739,2.968,55.5,107.2,15
38323,3.53,3.60,0.00,0.00,0.00,0.00,12.9,99.8,100.55,0,732,2.944,55.5,107.2,15
38521,3.89,3.97,0.00,0.00,0.00,0.00,12.9,99.8,101.10,0,728,2.976,55.5,107.2,11
38681,4.19,4.26,0.00,0.00,0.00,0.00,12.9,99.8,102.22,0,720,3.004,55.5,107.2,11
38842,4.48,4.55,0.00,0.00,0.00,0.00,12.9,99.8,102.64,0,717,3.036,55.5,107.2,11
39001,4.77,4.85,0.00,0.00,0.00,0.00,12.9,99.8,102.79,0,716,3.072,55.5,107.2,11
39161,5.07,5.14,0.00,0.00,0.00,0.00,13.0,99.0,102.79,0,716,3.092,55.5,107.2,11
39321,5.36,5.43,0.00,0.00,0.00,0.00,13.0,99.0,101.37,0,726,3.100,55.5,107.2,11
39521,5.72,5.80,0.00,0.00,0.00,0.00,13.2,99.0,99.44,0,740,3.124,55.5,107.2,4
39680,6.02,6.09,0.00,0.00,0.00,0.00,13.4,99.0,98.91,0,744,3.104,55.5,107.2,4
39842,6.31,6.38,0.00,0.00,0.00,0.00,13.4,99.0,98.26,0,749,3.096,55.5,107.2,4
40042,6.68,6.75,0.00,0.00,0.00,0.00,13.4,99.0,97.73,0,753,3.088,55.5,107.2,4
40242,7.04,7.12,0.00,0.00,0.00,0.00,13.4,99.0,96.97,0,759,3.068,55.5,107.2,4
40441,7.41,7.48,0.00,0.00,0.00,0.00,13.4,99.0,96.71,0,761,3.052,55.5,107.2,4
40601,7.70,7.78,0.00,0.00,0.00,0.00,13.4,99.0,94.89,0,761,3.044,55.5,107.2,0
40763,7.99,8.07,0.00,0.00,0.00,0.00,13.4,99.0,95.38,0,757,3.024,55.5,107.2,0
40961,8.36,8.43,0.00,0.00,0.00,0.00,13.4,99.0,96.71,0,761,3.024,55.5,107.2,0
41161,8.65,8.73,0.00,0.00,0.00,0.00,13.4,99.0,95.38,0,757,3.020,55.5,107.2,0
41321,8.87,8.95,0.00,0.00,0.00,0.00,13.4,99.0,96.14,0,751,3.020,55.5,107.2,0
41521,9.15,9.22,0.00,0.00,0.00,0.00,13.4,99.0,96.39,0,749,3.028,55.5,107.2,0
41681,9.37,9.44,0.00,0.00,0.00,0.00,13.4,99.0,96.39,0,749,3.036,55.5,107.2,0
41881,9.64,9.72,0.00,0.00,0.00,0.00,13.5,99.0,95.38,0,757,3.044,55.5,107.2,0
42041,9.86,9.94,0.00,0.00,0.00,0.00,13.4,99.0,93.07,0,761,3.032,56.2,107.2,0
42202,10.08,10.16,0.00,0.00,0.00,0.00,13.4,99.0,92.22,0,768,3.040,56.2,107.2,0
42361,10.30,10.38,0.00,0.00,0.00,0.00,13.4,99.0,91.86,0,771,3.008,56.2,107.2,0
42521,10.52,10.60,0.00,0.00,0.00,0.00,13.4,99.0,91.50,0,774,2.984,55.5,107.2,0
42680,10.74,10.81,0.00,0.00,0.00,0.00,13.5,99.0,90.29,0,769,2.960,55.5,107.2,0
42841,10.96,11.03,0.00,0.00,0.00,0.00,13.5,99.0,90.40,0,768,2.952,55.5,107.2,0
43002,11.18,11.25,0.00,0.00,0.00,0.00,13.5,99.0,90.52,0,767,2.916,56.2,107.2,0
43162,11.40,11.47,0.00,0.00,0.00,0.00,13.5,99.0,91.48,0,759,2.924,56.2,107.2,0
43323,11.62,11.69,0.00,0.00,0.00,0.00,13.5,99.0,92.07,0,754,2.932,56.2,107.2,0
43520,11.90,11.97,0.00,0.00,0.00,0.00,13.4,99.0,90.35,0,753,2.940,56.2,107.2,0
43681,12.11,12.19,0.00,0.00,0.00,0.00,13.5,99.0,90.59,0,751,2.952,56.2,107.2,0
43842,12.33,12.41,0.00,0.00,0.00,0.00,13.4,99.0,90.23,0,754,2.952,56.2,107.2,0
44002,12.55,12.63,0.00,0.00,0.00,0.00,13.4,99.0,90.35,0,753,2.956,56.2,107.2,0
44201,12.83,12.90,0.00,0.00,0.00,0.00,13.4,98.2,90.59,0,751,2.956,56.2,107.2,0
44361,13.05,13.12,0.00,0.00,0.00,0.00,13.4,98.2,90.71,0,750,2.960,56.2,107.2,0
44521,13.27,13.34,0.00,0.00,0.00,0.00,13.5,98.2,90.71,0,750,2.968,56.2,107.2,0
44682,13.49,13.56,0.00,0.00,0.00,0.00,13.4,98.2,88.98,0,749,2.960,56.2,107.2,0
44843,13.71,13.78,0.00,0.00,0.00,0.00,13.5,98.2,88.87,0,750,2.948,56.2,107.2,0
45040,13.98,14.06,0.00,0.00,0.00,0.00,13.5,98.2,88.87,0,750,2.940,56.2,107.2,0
