Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
8881,-2.75,-1.90,0.00,0.00,0.00,0.00,13.6,102.8,209.48,0,1929,6.156,56.2,107.2,0
9080,-0.89,-0.43,0.00,0.00,0.00,0.00,13.6,102.8,217.92,0,1797,6.268,56.2,107.2,0
9242,0.50,0.96,0.00,0.00,0.00,0.00,13.6,102.8,223.05,0,1681,6.512,56.2,107.2,0
9440,2.18,2.65,0.00,0.00,0.00,0.00,13.6,102.8,229.40,0,1586,6.824,56.2,107.2,0
9601,3.50,3.96,0.00,0.00,0.00,0.00,13.6,102.8,229.81,0,1547,7.044,56.2,107.2,2
9761,4.82,5.28,0.00,0.00,0.00,0.00,13.6,102.8,230.82,0,1522,7.216,56.2,107.2,2
9922,6.08,6.54,0.00,0.00,0.00,0.00,13.6,102.8,228.98,0,1510,7.332,56.2,107.2,2
10120,7.64,8.10,0.00,0.00,0.00,0.00,13.6,102.8,231.59,0,1511,7.476,56.2,107.2,2
10280,5.46,8.41,0.00,0.00,0.00,0.00,13.6,102.8,228.70,0,1518,7.304,56.2,107.2,2
10480,3.84,6.14,0.00,0.00,0.00,0.00,13.6,102.8,226.88,0,1524,7.128,56.2,107.2,2
10640,5.57,4.88,0.00,0.00,0.00,0.00,13.6,102.8,229.61,0,1524,7.272,56.2,107.2,9
10800,6.91,7.44,0.00,0.00,0.00,0.00,13.6,102.8,211.67,0,1673,7.268,56.2,107.2,9
10960,7.81,8.71,0.00,0.00,0.00,0.00,13.6,102.8,205.25,0,1759,6.984,56.2,107.2,9
11121,5.45,6.35,0.00,0.00,0.00,0.00,13.6,102.0,205.23,0,1827,6.728,56.2,107.2,9
11280,3.89,4.80,0.00,0.00,0.00,0.00,13.6,102.0,204.59,0,1948,6.468,56.2,107.2,9
11440,4.93,3.13,0.00,0.00,0.00,0.00,13.6,102.0,208.81,0,2015,6.436,56.2,107.2,9
