Time (msec),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
201,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
401,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
600,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
760,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
921,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
1120,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
1280,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
1442,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
1640,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
1840,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
2001,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
2201,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
2401,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
2601,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
2801,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
3001,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
3202,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
3400,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
3561,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
3760,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
3920,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
4121,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
4320,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
4480,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
4640,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
4800,11.4,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
4961,8.7,30.0,0.00,0,0,0.000,6.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
5122,9.4,30.0,533.33,0,138,42.156,2.62,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
5321,9.9,30.0,286.15,0,165,40.268,3.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
5482,9.8,30.0,299.22,0,181,39.148,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
5682,9.9,30.0,302.19,0,193,38.308,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
5881,10.0,30.0,540.05,0,198,36.764,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
6045,10.1,30.0,465.25,0,197,34.448,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
6241,10.0,30.0,331.31,0,197,32.208,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
6442,10.0,30.0,694.35,0,196,30.776,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
6641,9.9,30.0,333.00,0,196,30.328,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
6840,10.0,30.0,366.82,0,212,29.000,3.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
7000,10.3,30.0,342.20,0,280,24.888,4.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
7160,10.3,30.0,210.76,0,705,17.992,6.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
12003,11.6,30.0,135.13,0,1079,4.536,-6.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
12201,11.5,30.0,137.29,0,1062,4.604,-6.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
12402,11.6,30.0,138.86,0,1060,4.648,-6.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
12601,11.7,30.0,141.38,0,1051,4.700,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
12801,11.7,30.0,145.89,0,1047,4.808,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
13000,11.7,30.0,145.26,0,1042,4.884,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
13201,11.8,30.0,146.87,0,1040,4.916,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
13402,11.8,30.0,147.16,0,1038,4.952,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
13601,11.9,30.0,147.02,0,1039,4.988,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
13800,11.9,30.0,148.77,0,1036,5.000,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
14000,11.9,30.0,151.76,0,1034,5.040,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
14160,12.0,30.0,150.11,0,1036,5.032,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
14321,12.1,30.0,151.61,0,1035,5.036,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
14521,12.0,30.0,152.48,0,1029,5.048,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
14723,12.1,30.0,152.63,0,1028,5.060,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
14922,12.2,30.0,153.08,0,1025,5.072,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
15121,12.1,30.0,153.54,0,1022,5.076,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
15321,12.2,30.0,160.54,0,1012,5.124,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
15521,12.3,30.0,157.48,0,1014,5.196,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
15721,12.3,30.0,159.96,0,1007,5.232,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
15921,12.4,30.0,162.72,0,1007,5.272,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
16120,12.5,30.0,162.08,0,1011,5.292,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
16282,12.5,30.0,163.04,0,1005,5.308,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
16481,12.6,30.0,165.37,0,1016,5.332,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
16680,12.6,30.0,165.64,0,1006,5.356,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
16881,12.7,30.0,164.58,0,1004,5.364,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
17080,12.7,30.0,165.15,0,1009,5.372,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
17281,12.8,30.0,168.52,0,997,5.368,-7.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
17480,12.8,30.0,167.02,0,1006,5.380,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
17680,12.8,30.0,170.09,0,996,5.420,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
17841,12.9,30.0,175.67,0,996,5.464,-7.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
18041,13.0,30.0,171.68,0,1003,5.484,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
18240,13.0,30.0,175.14,0,999,5.496,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
18400,13.1,30.0,178.86,0,986,5.532,-6.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
18565,13.1,30.8,176.39,0,992,5.572,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
18760,13.1,30.8,176.53,0,999,5.600,-8.25,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
18960,13.2,30.8,182.34,0,990,5.620,-7.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
19122,13.2,30.8,180.22,0,994,5.672,-8.62,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
19322,13.3,30.8,183.46,0,984,5.696,-7.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
19481,13.3,30.8,185.90,0,986,5.732,-7.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
19680,13.3,30.8,182.64,0,996,5.792,-9.00,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
19840,13.2,30.8,184.23,0,995,5.824,-8.62,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
20040,13.2,30.8,185.43,0,996,5.836,-9.00,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
20200,13.3,30.8,183.48,0,999,5.828,-9.00,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
20360,13.3,30.8,183.04,0,1009,5.836,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
20520,13.3,30.8,183.29,0,1000,5.824,-9.38,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
20680,13.3,30.8,179.52,0,1021,5.792,-10.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
20841,13.4,30.8,180.58,0,1015,5.748,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
21000,13.4,30.8,180.48,0,1008,5.740,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
21200,13.4,30.8,182.21,0,1006,5.720,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
21361,13.4,30.8,181.49,0,1010,5.720,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
21520,13.4,30.8,179.06,0,1016,5.712,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
21681,13.3,30.8,178.55,0,1011,5.704,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
21880,13.3,30.8,180.41,0,1016,5.692,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
22040,13.4,30.8,183.40,0,1007,5.688,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
22201,13.4,30.8,179.92,0,1011,5.684,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
22361,13.4,30.8,179.52,0,1021,5.668,-10.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
22562,13.4,30.8,180.05,0,1018,5.636,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
22761,13.4,30.8,178.04,0,1014,5.636,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
22961,13.4,30.8,180.41,0,1016,5.632,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
23119,13.4,30.8,178.25,0,1005,5.624,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
23281,13.4,30.8,178.04,0,1014,5.612,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
23480,13.4,30.8,178.55,0,1011,5.596,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
23640,13.4,30.8,176.49,0,1015,5.584,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
23802,13.4,30.8,175.79,0,1019,5.556,-10.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
24001,13.4,31.5,177.30,0,1026,5.516,-10.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
24200,13.4,31.5,175.45,0,1013,5.504,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
24361,13.4,31.5,174.78,0,1017,5.492,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
24560,13.4,31.5,176.68,0,1006,5.468,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
24721,13.4,31.5,177.89,0,1007,5.496,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
24882,13.4,31.5,177.89,0,1007,5.508,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
25081,13.4,31.5,176.51,0,1007,5.492,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
25240,13.5,31.5,176.83,0,1013,5.476,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
25399,13.5,31.5,173.76,0,1015,5.448,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
25559,13.5,31.5,176.34,0,1008,5.444,-10.12,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
25721,13.4,31.5,176.17,0,1001,5.444,-9.38,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
25921,13.5,31.5,174.44,0,1011,5.444,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
26121,13.5,31.5,178.95,0,1001,5.448,-9.38,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
26321,13.5,31.5,176.17,0,1001,5.444,-9.38,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
26481,13.5,31.5,177.21,0,1003,5.460,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
26641,13.4,31.5,175.81,0,1011,5.440,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
26840,13.4,31.5,174.61,0,1010,5.424,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
27001,13.4,31.5,173.59,0,1016,5.396,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
27162,13.4,31.5,174.27,0,1012,5.380,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
27361,13.5,31.5,174.10,0,1013,5.400,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
27561,13.4,31.5,175.28,0,1014,5.392,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
27761,13.5,31.5,173.40,0,1017,5.376,-10.88,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
27961,13.5,32.2,176.34,0,1008,5.368,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
28160,13.5,32.2,174.97,0,1008,5.384,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
28321,13.5,32.2,176.85,0,1005,5.356,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
28480,13.5,32.2,174.61,0,1010,5.340,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
28640,13.4,32.2,171.34,0,1013,5.308,-10.50,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
28801,13.4,32.2,174.63,0,1002,5.304,-9.75,31.5,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
28962,13.4,32.2,174.63,0,1002,5.312,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
29160,13.4,32.2,174.97,0,1000,5.304,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
29321,13.5,32.2,175.47,0,1005,5.328,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
29479,13.4,32.2,170.64,0,1009,5.316,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
29640,13.4,32.2,173.59,0,1000,5.316,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
29800,13.4,32.2,174.63,0,1002,5.324,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
29960,13.4,32.2,175.64,0,1004,5.320,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
30120,13.5,32.2,174.27,0,1004,5.320,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
30280,13.4,32.2,172.55,0,1006,5.320,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
30441,13.5,32.2,170.49,0,1010,5.300,-10.50,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
30601,13.5,32.2,173.76,0,999,5.280,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
30801,13.5,32.2,169.29,0,1009,5.248,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
30961,13.5,32.2,173.40,0,993,5.264,-8.62,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
31162,13.5,32.2,172.89,0,1004,5.272,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
31360,13.5,32.2,170.11,0,1004,5.276,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
31521,13.5,33.0,171.85,0,1010,5.232,-10.50,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
31681,13.5,33.0,173.76,0,991,5.216,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
31880,13.5,33.0,172.89,0,1004,5.272,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
32041,13.5,33.0,172.89,0,996,5.264,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
32240,13.5,33.0,173.59,0,1008,5.272,-10.50,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
32401,13.5,33.0,172.19,0,1008,5.260,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
32561,13.5,33.0,173.93,0,1006,5.256,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
32760,13.5,33.0,173.23,0,1002,5.248,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
32923,13.5,33.0,170.09,0,996,5.252,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
33121,13.5,33.0,172.02,0,1001,5.248,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
33320,13.5,33.0,170.26,0,995,5.240,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
33481,13.5,33.0,169.92,0,997,5.228,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
33681,13.5,33.0,170.98,0,1007,5.220,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
33841,13.5,33.0,171.32,0,997,5.208,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
34002,13.4,33.0,172.36,0,991,5.188,-8.62,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
34201,13.5,33.0,171.49,0,996,5.216,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
34361,13.5,33.0,171.85,0,1002,5.216,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
34560,13.4,33.0,167.70,0,1002,5.200,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
34719,13.5,33.0,171.32,0,997,5.200,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
34880,13.5,33.0,169.60,0,1007,5.208,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
35040,13.5,33.8,170.28,0,1003,5.200,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
35200,13.5,33.8,169.20,0,993,5.204,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
35360,13.5,33.8,170.45,0,1002,5.208,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
35521,13.5,33.8,171.13,0,990,5.160,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
35681,13.5,33.8,169.08,0,1002,5.196,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
35881,13.5,33.8,169.90,0,989,5.148,-8.62,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
36081,13.5,33.8,172.17,0,992,5.204,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
36241,13.5,33.8,170.43,0,994,5.208,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
36401,13.5,33.8,170.26,0,995,5.200,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
36562,13.5,33.8,169.08,0,1002,5.192,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
36760,13.5,33.8,172.70,0,997,5.188,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
36921,13.5,33.8,168.91,0,1003,5.188,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
37121,13.5,33.8,171.66,0,995,5.196,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
37321,13.5,33.8,168.86,0,995,5.204,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
37481,13.5,33.8,169.08,0,1002,5.196,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
37680,13.5,33.8,170.77,0,992,5.208,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
37879,13.5,33.8,168.74,0,1004,5.196,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
38040,13.5,33.8,172.87,0,988,5.192,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
38240,13.5,33.8,169.44,0,1008,5.212,-10.50,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
38400,13.5,33.8,167.19,0,1005,5.180,-10.50,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
38560,13.5,34.5,167.70,0,1002,5.156,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
38721,13.4,34.5,170.09,0,996,5.160,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
38921,13.5,34.5,171.49,0,996,5.196,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
39081,13.5,34.5,169.03,0,994,5.200,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
39241,13.5,34.5,168.69,0,996,5.196,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
39441,13.5,34.5,169.03,0,994,5.180,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
39642,13.5,34.5,169.54,0,991,5.172,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
39842,13.5,34.5,169.20,0,993,5.168,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
40041,13.5,34.5,167.53,0,1003,5.152,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
40200,13.5,34.5,168.35,0,998,5.132,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
40360,13.5,34.5,169.54,0,991,5.140,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
40522,13.5,34.5,167.46,0,995,5.156,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
40721,13.5,34.5,169.71,0,990,5.148,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
40920,13.4,34.5,171.81,0,986,5.160,-9.00,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
41080,13.4,34.5,169.75,0,998,5.184,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
41240,13.4,34.5,167.85,0,1001,5.176,-10.12,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
41441,13.4,34.5,168.86,0,995,5.168,-9.75,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
41640,13.5,35.2,169.37,0,992,5.160,-9.38,32.2,0.00,0.00,30.0,30.8,0,0.10,0.12,2.45,2.75
