Time (msec),* Engine Load (mg/stroke),* Fuel Injector Pulse Width (ms),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Engine Speed (RPM)
211522,68.59,1.732,5.55,6.56,105.6,1842
211641,66.90,1.712,5.55,6.56,105.6,1868
211722,67.72,1.704,5.55,6.56,105.6,1866
211842,66.85,1.700,5.55,6.56,105.6,1869
211961,65.24,1.696,5.55,6.56,105.6,1894
212041,65.24,1.636,3.14,6.56,105.6,1894
212121,65.35,1.628,2.77,6.56,105.6,1891
212201,65.20,1.616,2.41,4.32,105.6,1895
212281,63.55,1.600,2.04,3.96,105.6,1923
212361,63.61,1.580,1.67,3.59,105.6,1921
212441,63.91,1.572,1.31,3.22,105.6,1912
212521,61.75,1.568,0.94,2.86,105.6,1934
212602,62.19,1.548,0.55,2.47,105.6,1942
212721,60.69,1.528,-0.03,1.89,105.6,1945
212801,59.71,1.508,-0.43,1.49,105.6,1953
212881,59.04,1.492,-0.83,1.09,105.6,1952
212962,58.08,1.472,-1.23,0.68,105.6,1960
213082,57.34,1.440,-1.84,0.08,105.6,1961
213202,53.67,1.408,-2.44,-0.52,105.6,1966
213282,51.56,1.380,-2.85,-0.93,105.6,1966
213362,50.11,1.360,-3.25,-1.33,105.6,1967
213482,49.99,1.324,-3.85,-1.93,105.6,1972
213602,49.18,1.284,-4.46,-2.54,105.6,1976
213721,50.03,1.240,-5.06,-3.14,105.6,1970
213801,49.39,1.248,-5.46,-3.55,105.6,1968
213883,50.03,1.228,-5.87,-3.95,105.6,1970
214002,49.42,1.212,-6.47,-4.55,105.6,1967
214122,50.11,1.216,0.00,0.00,105.6,1967
214201,48.69,1.212,0.00,0.00,105.6,1967
214281,50.07,1.220,0.00,0.00,105.6,1969
214362,49.61,1.208,0.00,0.00,105.6,1959
214442,49.42,1.208,0.00,0.00,105.6,1967
214562,49.50,1.208,0.00,0.00,105.6,1963
214681,49.46,1.204,0.00,0.00,105.6,1965
214762,48.89,1.200,0.00,0.00,105.6,1960
214881,49.63,1.208,0.00,0.00,105.6,1958
214961,49.05,1.208,0.00,0.00,105.6,1953
215042,50.43,1.208,0.00,0.00,105.6,1955
215162,50.47,1.208,0.00,0.00,105.6,1953
215281,50.47,1.212,0.00,0.00,105.6,1953
215361,50.56,1.208,0.00,0.00,105.6,1950
215441,49.08,1.208,0.00,0.00,105.6,1952
215521,49.20,1.208,0.00,0.00,105.6,1947
215602,48.55,1.204,0.00,0.00,105.6,1945
215682,49.33,1.196,0.00,0.00,105.6,1942
215762,48.61,1.184,0.00,0.00,105.6,1942
215882,48.69,1.184,0.00,0.00,105.6,1939
216001,47.27,1.176,0.00,0.00,105.6,1938
216081,47.19,1.180,0.00,0.00,105.6,1942
216163,47.83,1.180,0.00,0.00,105.6,1945
216282,48.02,1.176,0.00,0.00,105.6,1937
216401,48.16,1.180,0.00,0.00,105.6,1931
216481,48.23,1.180,0.00,0.00,105.6,1929
216561,48.82,1.184,0.00,0.00,105.6,1934
216641,48.12,1.180,0.00,0.00,105.6,1933
216722,48.86,1.184,0.00,0.00,105.6,1932
216840,47.53,1.184,0.00,0.00,105.6,1928
216922,47.66,1.168,0.00,0.00,105.6,1923
217041,48.23,1.180,0.00,0.00,105.6,1929
217122,48.31,1.180,0.00,0.00,105.6,1925
217241,47.64,1.172,0.00,0.00,105.6,1924
217321,47.74,1.168,0.00,0.00,105.6,1919
217403,47.78,1.172,0.00,0.00,105.6,1918
217522,47.72,1.168,0.00,0.00,105.6,1920
217641,46.28,1.172,0.00,0.00,105.6,1920
217723,47.72,1.168,0.00,0.00,105.6,1920
217843,46.26,1.168,0.00,0.00,105.6,1921
217962,47.70,1.168,0.00,0.00,105.6,1921
218042,47.70,1.168,0.00,0.00,105.6,1921
218121,47.68,1.168,0.00,0.00,105.6,1922
218201,49.08,1.172,0.00,0.00,105.6,1924
218283,48.38,1.180,0.00,0.00,105.6,1923
218403,48.36,1.176,0.00,0.00,105.6,1924
218521,47.57,1.176,0.00,0.00,105.6,1926
218601,48.27,1.176,0.00,0.00,105.6,1927
218681,48.99,1.176,0.00,0.00,105.6,1927
218761,48.25,1.176,0.00,0.00,105.6,1928
218841,47.53,1.176,0.00,0.00,105.6,1928
218921,48.29,1.176,0.00,0.00,105.6,1926
219001,48.36,1.172,0.00,0.00,105.6,1924
219081,49.10,1.184,0.00,0.00,105.6,1923
219162,48.42,1.180,0.00,0.00,105.6,1921
219284,47.66,1.180,0.00,0.00,105.6,1923
219402,48.23,1.180,0.00,0.00,105.6,1929
219481,47.51,1.180,0.00,0.00,105.6,1929
219561,48.25,1.180,0.00,0.00,105.6,1928
219642,48.23,1.176,0.00,0.00,105.6,1929
219722,49.01,1.176,0.00,0.00,105.6,1926
219802,48.40,1.180,0.00,0.00,105.6,1922
219921,47.59,1.176,0.00,0.00,105.6,1925
220001,48.38,1.176,0.00,0.00,105.6,1923
220082,47.55,1.172,0.00,0.00,105.6,1927
220163,47.53,1.176,0.00,0.00,105.6,1928
220281,47.55,1.172,0.00,0.00,105.6,1927
220361,48.29,1.172,0.00,0.00,105.6,1926
220441,47.53,1.172,0.00,0.00,105.6,1928
220520,47.44,1.172,0.00,0.00,105.6,1931
220601,47.53,1.168,0.00,0.00,105.6,1928
220681,48.14,1.172,0.00,0.00,105.6,1932
220761,48.14,1.172,0.00,0.00,105.6,1932
220841,48.10,1.168,0.00,0.00,105.6,1934
220921,47.32,1.168,0.00,0.00,105.6,1937
221001,48.10,1.168,0.00,0.00,105.6,1934
221081,48.02,1.172,0.00,0.00,105.6,1937
221163,48.06,1.176,0.00,0.00,105.6,1936
221282,48.69,1.168,0.00,0.00,105.6,1939
221402,47.95,1.172,0.00,0.00,105.6,1940
221524,47.85,1.172,0.00,0.00,105.6,1944
221643,48.63,1.176,0.00,0.00,105.6,1941
221762,47.91,1.172,0.00,0.00,105.6,1942
221882,47.13,1.168,0.00,0.00,105.6,1944
222001,47.85,1.168,0.00,0.00,105.6,1944
222082,47.87,1.164,0.00,0.00,105.6,1943
222161,47.78,1.160,0.00,0.00,105.6,1947
222242,47.13,1.160,0.00,0.00,105.6,1944
222321,47.02,1.160,0.00,0.00,105.6,1949
222401,47.70,1.160,0.00,0.00,105.6,1950
222482,46.98,1.176,0.00,0.00,105.6,1951
222601,47.00,1.160,0.00,0.00,105.6,1950
222681,47.72,1.160,0.00,0.00,105.6,1949
222762,48.48,1.164,0.00,0.00,105.6,1947
222882,47.00,1.160,0.00,0.00,105.6,1950
222961,47.53,1.168,0.00,0.00,105.6,1957
223041,48.27,1.172,0.00,0.00,105.6,1956
223122,48.93,1.176,0.00,0.00,105.6,1958
223201,48.89,1.180,0.00,0.00,105.6,1960
223282,48.93,1.184,0.00,0.00,105.6,1958
223363,49.56,1.188,0.00,0.00,105.6,1961
223483,49.63,1.196,0.00,0.00,105.6,1958
223601,48.80,1.196,0.00,0.00,105.6,1963
223681,48.78,1.196,0.00,0.00,105.6,1964
223763,48.74,1.200,0.00,0.00,105.6,1966
223881,48.67,1.196,0.00,0.00,105.6,1968
223961,49.42,1.200,0.00,0.00,105.6,1967
224042,48.59,1.196,0.00,0.00,105.6,1972
224122,49.33,1.196,0.00,0.00,105.6,1970
224241,50.20,1.200,0.00,0.00,105.6,1964
224322,49.46,1.208,0.00,0.00,105.6,1965
224442,50.07,1.208,0.00,0.00,105.6,1969
224562,49.20,1.208,0.00,0.00,105.6,1975
224641,49.18,1.208,0.00,0.00,105.6,1976
224721,49.31,1.208,0.00,0.00,105.6,1971
224801,49.16,1.208,0.00,0.00,105.6,1977
224882,48.46,1.208,0.00,0.00,105.6,1977
224962,48.29,1.212,0.00,0.00,105.6,1984
225042,49.01,1.196,0.00,0.00,105.6,1983
225121,48.21,1.208,0.00,0.00,105.6,1987
225201,49.69,1.208,0.00,0.00,105.6,1984
225281,49.80,1.200,0.00,0.00,105.6,1980
225361,49.71,1.204,0.00,0.00,105.6,1983
225442,48.97,1.212,0.00,0.00,105.6,1985
225522,49.58,1.216,0.00,0.00,105.6,1988
225602,50.14,1.220,0.00,0.00,105.6,1994
225681,50.88,1.220,0.00,0.00,105.6,1992
225761,50.88,1.220,0.00,0.00,105.6,1992
225843,50.88,1.224,0.00,0.00,105.6,1992
225961,50.77,1.224,0.00,0.00,105.6,1996
226041,50.09,1.224,0.00,0.00,105.6,1996
226123,50.05,1.220,0.00,0.00,105.6,1997
226241,50.77,1.224,0.00,0.00,105.6,1996
226322,50.18,1.228,0.00,0.00,105.6,1992
226403,50.94,1.228,0.00,0.00,105.6,1990
226522,50.14,1.228,0.00,0.00,105.6,1994
226602,49.37,1.224,0.00,0.00,105.6,1997
226681,50.81,1.224,0.00,0.00,105.6,1995
226761,50.77,1.228,0.00,0.00,105.6,1996
226842,50.69,1.224,0.00,0.00,105.6,2000
226961,50.58,1.220,0.00,0.00,105.6,2004
227041,50.71,1.220,0.00,0.00,105.6,1999
227122,49.29,1.220,0.00,0.00,105.6,2000
227201,49.31,1.220,0.00,0.00,105.6,1999
227282,50.09,1.216,0.00,0.00,105.6,1996
227401,49.31,1.212,0.00,0.00,105.6,1999
227482,49.42,1.212,0.00,0.00,105.6,1995
227601,49.46,1.212,0.00,0.00,105.6,1993
227681,49.48,1.212,0.00,0.00,105.6,1992
227761,48.72,1.212,0.00,0.00,105.6,1995
227841,50.09,1.212,0.00,0.00,105.6,1996
227921,50.77,1.216,0.00,0.00,105.6,1996
228002,49.48,1.216,0.00,0.00,105.6,1992
228082,50.24,1.220,0.00,0.00,105.6,1990
228162,49.52,1.220,0.00,0.00,105.6,1991
228242,50.96,1.216,0.00,0.00,105.6,1989
228322,50.69,1.224,0.00,0.00,105.6,2000
228402,50.69,1.220,0.00,0.00,105.6,2000
228483,49.99,1.224,0.00,0.00,105.6,2000
228602,50.81,1.228,0.00,0.00,105.6,1995
228681,50.71,1.228,0.00,0.00,105.6,1999
228761,49.29,1.224,0.00,0.00,105.6,2000
228842,50.58,1.220,0.00,0.00,105.6,2004
228921,50.47,1.220,0.00,0.00,105.6,2008
229002,49.88,1.220,0.00,0.00,105.6,2004
229121,50.37,1.220,0.00,0.00,105.6,2012
229202,50.56,1.220,0.00,0.00,105.6,2005
229281,50.47,1.220,0.00,0.00,105.6,2008
229362,49.90,1.220,0.00,0.00,105.6,2003
229441,50.60,1.224,0.00,0.00,105.6,2003
229521,49.75,1.220,0.00,0.00,105.6,2009
229601,50.14,1.228,0.00,0.00,105.6,2022
229682,49.92,1.220,0.00,0.00,105.6,2030
229762,50.01,1.220,0.00,0.00,105.6,2027
229841,49.99,1.220,0.00,0.00,105.6,2028
229921,50.69,1.220,0.00,0.00,105.6,2027
230003,49.90,1.216,0.00,0.00,105.6,2031
230122,50.45,1.220,0.00,0.00,105.6,2036
230242,49.92,1.216,0.00,0.00,105.6,2030
230321,50.05,1.216,0.00,0.00,105.6,2025
230401,50.28,1.212,0.00,0.00,105.6,2016
230483,50.64,1.212,0.00,0.00,105.6,2001
230602,50.43,1.208,0.00,0.00,105.6,1982
230682,50.88,1.212,0.00,0.00,105.6,1965
230762,49.58,1.212,0.00,0.00,105.6,1960
230842,49.37,1.204,0.00,0.00,105.6,1940
230961,48.95,1.204,0.00,0.00,105.6,1929
231042,48.63,1.188,0.00,0.00,105.6,1913
231122,47.59,1.188,0.00,0.00,105.6,1896
231242,48.80,1.168,0.00,0.00,105.6,1878
231361,46.32,1.160,0.00,0.00,105.6,1858
231442,46.05,1.144,0.00,0.00,105.6,1839
231521,45.58,1.140,0.00,0.00,105.6,1828
231602,45.13,1.120,0.00,0.00,105.6,1815
231682,44.71,1.116,0.00,0.00,105.6,1801
231762,44.31,1.096,0.00,0.00,105.6,1786
231842,43.95,1.096,0.00,0.00,105.6,1769
231961,43.63,1.080,0.00,0.00,105.6,1750
232041,42.38,1.072,0.00,0.00,105.6,1736
232121,42.61,1.060,0.00,0.00,105.6,1727
232203,42.85,1.064,0.00,0.00,105.6,1717
232322,42.19,1.056,0.00,0.00,105.6,1711
232442,41.24,1.056,0.00,0.00,105.6,1717
232522,40.43,1.048,0.00,0.00,105.6,1717
232603,40.56,1.052,0.00,0.00,105.6,1712
232722,40.66,1.040,0.00,0.00,105.6,1707
232842,40.75,1.036,0.00,0.00,104.1,1704
232961,40.77,1.028,0.00,0.00,104.1,1703
233043,40.79,1.016,0.00,0.00,104.1,1702
233161,40.77,1.016,0.00,0.00,104.1,1703
233241,40.90,1.016,0.00,0.00,104.1,1697
233322,40.83,1.028,0.00,0.00,104.1,1700
233402,40.90,1.028,0.00,0.00,104.1,1697
233481,40.96,1.016,0.00,0.00,104.1,1695
233561,40.98,1.016,0.00,0.00,104.1,1694
233641,41.19,1.020,0.00,0.00,104.1,1685
233722,40.24,1.016,0.00,0.00,104.1,1691
233843,40.39,1.016,0.00,0.00,104.1,1684
233962,40.45,1.012,0.00,0.00,104.1,1682
234043,40.49,1.016,0.00,0.00,104.1,1680
234161,40.60,1.016,0.00,0.00,104.1,1676
234243,40.52,1.016,0.00,0.00,104.1,1679
234362,40.60,1.016,0.00,0.00,104.1,1676
234441,40.47,1.016,0.00,0.00,104.1,1681
234522,40.62,1.016,0.00,0.00,104.1,1675
234601,40.56,1.008,0.00,0.00,104.1,1677
234682,40.62,1.012,0.00,0.00,104.1,1675
234762,40.62,1.016,0.00,0.00,104.1,1675
234842,40.56,1.008,0.00,0.00,104.1,1677
234922,41.53,1.072,0.00,0.00,104.1,1671
235002,46.30,1.112,0.00,0.00,104.1,1679
235081,56.32,1.316,2.21,2.25,104.1,1676
235161,68.61,1.336,2.54,2.58,104.1,1700
235242,82.03,1.448,2.87,2.91,104.1,1676
235322,87.85,1.620,3.20,3.24,104.1,1707
235402,91.18,1.772,3.53,3.57,104.1,1721
235482,94.25,1.920,3.86,3.90,104.1,1709
235561,95.84,2.048,4.18,4.23,104.1,1724
235641,95.38,2.144,4.52,4.56,104.1,1718
235723,97.75,2.212,4.89,4.93,104.1,1719
235842,96.10,2.304,5.44,5.48,104.1,1734
235922,96.39,2.336,5.81,5.85,104.1,1743
236041,95.84,2.356,6.03,6.40,104.1,1753
236121,94.61,2.356,6.03,6.53,104.1,1761
236202,94.15,2.356,6.03,6.53,104.1,1770
236283,95.06,2.356,6.03,6.53,104.1,1782
236403,96.31,2.348,6.03,6.53,104.1,1788
236524,93.30,2.348,6.03,6.53,104.1,1801
236642,91.65,2.344,6.03,6.53,104.1,1818
236762,90.33,2.304,6.03,6.53,104.1,1829
236882,84.61,2.180,3.59,6.53,104.1,1838
237001,74.10,2.048,3.01,4.01,104.1,1855
237081,71.43,1.964,2.64,3.64,104.1,1866
237162,69.65,1.876,2.27,3.28,104.1,1874
237241,67.11,1.808,1.91,2.91,104.1,1883
237321,66.26,1.736,1.54,2.54,104.1,1886
237403,64.01,1.684,1.17,2.18,104.1,1887
237521,61.98,1.600,0.62,1.63,104.1,1904
237603,56.62,1.560,0.26,1.26,104.1,1913
237721,47.87,1.500,-0.29,0.71,104.1,1914
237801,47.59,1.452,-0.66,0.35,104.1,1925
237881,48.10,1.420,-1.02,-0.02,104.1,1934
237962,47.32,1.384,-1.41,-0.41,104.1,1937
238041,47.23,1.348,-1.79,-0.79,104.1,1940
238121,47.80,1.304,-2.20,-1.19,104.1,1946
238202,47.57,1.288,-2.60,-1.60,104.1,1955
238323,48.38,1.256,-3.20,-2.20,104.1,1952
238442,48.93,1.232,-3.81,-2.80,104.1,1958
238561,49.50,1.208,0.00,0.00,104.1,1963
238642,48.63,1.208,0.00,0.00,104.1,1970
238722,49.16,1.208,0.00,0.00,104.1,1977
238803,48.53,1.208,0.00,0.00,104.1,1974
238923,48.38,1.204,0.00,0.00,104.1,1980
239043,48.89,1.208,0.00,0.00,104.1,1988
239163,50.26,1.208,0.00,0.00,104.1,1989
239281,50.90,1.220,0.00,0.00,104.1,1991
239361,50.62,1.224,0.00,0.00,104.1,2002
239442,49.63,1.212,0.00,0.00,104.1,2014
239562,50.73,1.220,0.00,0.00,104.1,1998
239641,50.60,1.216,0.00,0.00,104.1,2003
239763,50.16,1.224,0.00,0.00,104.1,2021
239881,50.09,1.220,0.00,0.00,104.1,2023
239962,50.05,1.220,0.00,0.00,104.1,2025
240082,50.64,1.224,0.00,0.00,104.1,2029
240161,49.80,1.220,0.00,0.00,104.1,2035
240243,50.11,1.212,0.00,0.00,104.1,2050
240362,50.26,1.220,0.00,0.00,104.1,2044
240442,49.54,1.216,0.00,0.00,104.1,2046
240523,50.81,1.216,0.00,0.00,104.1,2049
240642,50.37,1.220,0.00,0.00,104.1,2067
240721,50.47,1.220,0.00,0.00,104.1,2063
240803,50.20,1.220,0.00,0.00,104.1,2074
240923,50.18,1.220,0.00,0.00,104.1,2075
241043,49.97,1.220,0.00,0.00,104.1,2084
241163,49.84,1.212,0.00,0.00,104.1,2089
241282,51.00,1.220,0.00,0.00,104.1,2096
241402,50.20,1.212,0.00,0.00,104.1,2102
241521,50.05,1.216,0.00,0.00,104.1,2108
241601,50.64,1.216,0.00,0.00,104.1,2111
241682,50.54,1.212,0.00,0.00,104.1,2115
241802,51.09,1.212,0.00,0.00,104.1,2120
241921,50.90,1.216,0.00,0.00,104.1,2128
242001,50.75,1.220,0.00,0.00,104.1,2134
242081,50.69,1.224,0.00,0.00,104.1,2137
242161,50.62,1.224,0.00,0.00,104.1,2139
242242,50.50,1.220,0.00,0.00,104.1,2145
242361,50.31,1.216,0.00,0.00,104.1,2153
242442,51.53,1.220,0.00,0.00,104.1,2155
242562,51.43,1.228,0.00,0.00,104.1,2160
242642,52.04,1.232,0.00,0.00,104.1,2161
242763,51.87,1.232,0.00,0.00,104.1,2168
242881,51.68,1.224,0.00,0.00,104.1,2176
242962,51.60,1.228,0.00,0.00,104.1,2180
243082,52.25,1.228,0.00,0.00,104.1,2179
243201,52.72,1.236,0.00,0.00,104.1,2186
243282,51.89,1.236,0.00,0.00,104.1,2194
243362,52.45,1.236,0.00,0.00,104.1,2197
243483,52.42,1.240,0.00,0.00,104.1,2198
243602,52.30,1.244,0.00,0.00,104.1,2204
243683,52.15,1.236,0.00,0.00,104.1,2210
329690,52.66,1.240,0.00,0.00,104.1,2215
329803,80.35,1.984,-3.13,-1.66,103.3,743
329922,80.14,1.984,-3.02,-1.55,103.3,745
330003,79.82,1.988,-2.95,-1.48,103.3,748
330123,79.61,1.984,-2.84,-1.37,103.3,750
330243,79.82,1.988,-2.73,-1.26,103.3,748
330323,79.61,1.984,-2.65,-1.19,103.3,750
330404,80.59,1.992,-2.58,-1.11,103.3,741
330523,79.82,1.988,-2.47,-1.00,103.3,748
330644,79.50,1.988,-2.36,-0.90,103.3,751
330764,77.66,1.984,-2.25,-0.79,103.3,751
330883,78.28,1.980,-2.14,-0.68,103.3,745
331003,78.17,1.968,-2.03,-0.57,103.3,746
331083,78.38,1.972,-1.96,-0.49,103.3,744
331163,78.70,1.976,-1.89,-0.42,103.3,741
331243,78.91,1.976,-1.81,-0.35,103.3,739
331323,78.70,1.976,-1.74,-0.27,103.3,741
331404,78.49,1.980,-1.67,-0.20,103.3,743
331524,78.81,1.980,-1.56,-0.09,103.3,740
331644,78.59,1.980,-1.45,0.02,103.3,742
331762,78.81,1.984,-1.34,0.13,103.3,740
331842,79.12,1.984,-1.26,0.20,103.3,737
331924,79.12,1.988,-1.19,0.28,103.3,737
332043,78.91,1.988,-1.08,0.39,103.3,739
332123,79.12,1.992,-1.01,0.46,103.3,737
332203,79.02,1.992,-0.93,0.53,103.3,738
332284,79.02,1.992,-0.86,0.61,103.3,738
332403,78.91,1.992,-0.75,0.72,103.3,739
332483,76.94,1.988,-0.68,0.79,103.3,740
332604,76.94,1.972,-0.57,0.90,103.3,740
332725,77.03,1.972,-0.46,1.01,103.3,739
332844,77.34,1.976,-0.35,1.12,103.3,736
332964,77.13,1.976,-0.24,1.23,103.3,738
333084,77.87,1.956,-0.13,1.34,103.3,731
333203,77.77,1.968,-0.02,1.45,103.3,732
333284,77.98,1.972,0.06,1.52,103.3,730
333403,78.19,1.972,0.17,1.63,103.3,728
333484,78.09,1.976,0.24,1.71,103.3,729
333604,77.77,1.984,0.35,1.81,103.3,732
333723,77.56,1.980,0.46,1.92,103.3,734
333803,77.98,1.984,0.53,2.00,103.3,730
333884,78.09,1.988,0.60,2.07,103.3,729
334006,78.64,1.996,0.71,2.18,103.3,724
334123,78.19,2.000,0.82,2.29,103.3,728
334204,77.87,1.996,0.90,2.36,103.3,731
334323,78.19,2.000,1.01,2.47,103.3,728
334404,77.87,2.004,1.08,2.55,103.3,731
334522,77.34,2.024,1.19,2.66,103.3,736
334604,77.45,1.992,1.26,2.73,103.3,735
334724,77.66,2.000,1.37,2.84,103.3,733
334843,77.24,2.020,1.48,2.95,103.3,737
334924,77.24,2.016,1.56,3.02,103.3,737
335042,77.34,2.016,1.67,3.13,103.3,736
335124,77.34,2.016,1.67,3.21,103.3,736
335244,77.66,1.984,1.67,3.26,103.3,733
335364,75.78,1.984,1.67,3.26,103.3,733
335482,75.78,1.964,0.25,3.26,103.3,733
335564,75.88,1.960,0.18,1.89,103.3,732
335683,75.88,1.960,0.07,1.78,103.3,732
335763,76.28,1.960,-0.00,1.71,103.3,728
335844,76.28,1.960,-0.08,1.64,103.3,728
335964,76.71,1.956,-0.19,1.53,103.3,724
336083,76.71,1.956,-0.30,1.42,103.3,724
336162,77.13,1.956,-0.37,1.34,103.3,720
336242,76.92,1.952,-0.44,1.27,102.5,722
336324,77.24,1.956,-0.52,1.20,102.5,719
336443,77.13,1.948,-0.63,1.09,102.5,720
