Time (msec),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Lambda Integrator - Bank 2 (%),* Lambda Integrator - Bank 1 (%)
215840,57.66,2047,1.528,21.00,5.61,-0.86
215921,55.94,2060,1.476,18.75,5.21,-1.26
216001,55.39,2030,1.444,16.88,4.81,-1.67
216081,55.18,2013,1.416,15.00,4.40,-2.07
216161,53.17,2011,1.380,13.12,4.00,-2.47
216240,53.25,2008,1.352,10.88,3.60,-2.88
216320,51.92,2006,1.320,9.00,3.19,-3.28
216401,51.17,2008,1.292,7.12,2.79,-3.68
216481,51.72,1986,1.292,5.25,2.39,-4.08
216561,52.17,1996,1.308,3.00,1.99,-2.27
216641,52.59,1980,1.304,1.12,3.80,-1.86
216720,51.20,1980,1.304,-1.12,4.21,-1.46
216801,51.36,1973,1.220,-2.25,4.61,-1.06
216921,51.87,1954,1.232,-2.25,0.00,0.00
217001,51.87,1954,1.240,-2.25,0.00,0.00
217081,52.25,1940,1.236,-2.25,0.00,0.00
217162,53.91,1932,1.324,2.25,0.00,0.00
217280,58.04,1914,1.332,12.00,0.28,0.32
217361,57.85,1920,1.372,17.62,0.64,0.69
217442,58.06,1913,1.392,19.88,1.01,1.05
217561,58.48,1923,1.436,20.25,1.56,1.60
217641,60.46,1906,1.440,20.25,1.92,1.97
217721,61.64,1892,1.460,20.25,2.29,2.34
217801,63.38,1884,1.492,20.62,2.66,2.70
217881,63.15,1869,1.512,20.62,3.02,3.07
217961,63.51,1880,1.540,21.00,3.39,3.43
218040,64.69,1867,1.552,20.62,3.75,3.80
218121,64.80,1864,1.564,21.00,4.12,4.17
218201,65.86,1855,1.564,21.00,4.49,4.17
218282,64.99,1859,1.596,21.00,4.85,4.17
218400,65.63,1841,1.596,21.00,5.40,4.17
218480,65.12,1855,1.600,21.00,5.77,4.17
218561,65.65,1840,1.604,21.00,6.13,4.17
218641,65.43,1846,1.608,21.38,6.50,4.17
218720,65.14,1833,1.604,21.00,6.73,4.17
218800,65.63,1841,1.616,21.00,6.73,4.17
218881,66.01,1830,1.616,21.00,6.73,4.17
219000,65.79,1836,1.620,21.00,6.73,4.17
219080,66.37,1820,1.580,21.00,6.73,2.03
219161,65.50,1823,1.580,21.00,6.73,1.66
219282,68.27,1810,1.628,21.38,6.73,1.13
219400,81.37,1809,1.656,21.75,6.73,0.62
219481,84.53,1807,1.736,22.12,6.73,0.30
219600,89.04,1809,1.860,22.88,6.73,-0.20
219681,87.94,1816,1.968,22.88,4.54,1.90
219801,89.82,1824,2.068,23.25,6.35,2.45
219881,90.97,1801,2.100,23.62,6.72,2.82
220001,97.37,1797,2.612,23.62,7.22,3.37
220081,135.09,1799,2.920,24.75,7.22,3.55
220160,190.63,1792,3.664,24.38,7.22,3.55
220241,191.01,1803,4.060,24.00,7.22,3.55
220321,187.13,1833,4.268,24.00,7.22,3.55
220402,192.98,1799,4.388,24.75,7.22,3.55
220521,181.53,1813,4.428,24.75,7.22,3.55
220601,185.92,1800,4.468,24.75,7.22,3.55
220681,183.29,1803,4.500,24.38,7.22,3.55
220761,180.86,1812,4.392,24.38,4.67,1.15
220881,178.95,1808,4.356,24.38,3.73,0.21
221002,180.45,1816,4.272,24.75,2.80,-0.72
221121,178.72,1826,4.376,24.75,1.87,2.17
221201,179.50,1818,4.376,24.75,1.24,2.79
221322,172.44,1836,4.388,24.75,0.31,3.73
221441,177.00,1828,4.380,24.75,1.49,4.66
221521,177.28,1833,4.400,24.75,2.11,5.28
221601,178.74,1818,4.420,24.75,2.73,5.91
221681,175.67,1834,4.472,24.75,3.36,6.53
221761,176.81,1830,4.488,24.75,3.98,7.15
221841,176.32,1835,4.492,24.75,4.60,7.38
221960,168.63,1828,4.012,24.75,5.54,7.38
222040,94.15,1829,3.796,24.38,6.13,7.38
222120,44.52,1809,2.724,21.75,6.67,7.38
222201,48.78,1822,2.632,19.50,6.67,7.38
222281,47.93,1825,2.196,17.25,6.67,7.38
222362,47.76,1802,1.944,15.00,6.67,7.38
222481,45.92,1784,1.800,11.25,6.67,7.38
222561,44.54,1777,1.648,9.00,6.67,5.07
222642,43.25,1798,1.600,4.12,6.67,4.74
222761,45.83,1696,1.324,-3.75,0.00,0.00
222842,46.81,1572,1.332,-3.75,0.00,0.00
222960,48.19,1412,0.704,-6.75,0.00,0.00
223041,52.06,1280,0.896,-8.25,0.00,0.00
223121,57.55,1182,1.212,-9.75,0.00,0.00
223201,66.05,1051,1.820,7.12,0.00,0.00
223280,84.51,953,1.768,7.12,0.00,0.00
223361,100.84,950,1.976,8.25,0.07,1.76
223441,101.29,946,2.240,8.25,0.23,1.91
223560,92.58,960,2.348,8.25,0.47,2.16
223642,85.57,990,2.256,8.62,0.66,2.34
223761,75.97,1060,2.044,10.88,0.79,2.48
223842,66.83,1122,1.932,12.75,0.79,2.48
223960,60.56,1215,1.768,13.50,0.79,2.48
224041,57.32,1284,1.464,12.75,0.79,2.48
224122,55.12,1310,1.692,12.00,0.79,2.48
224201,51.00,1361,1.668,11.25,0.79,2.48
224281,46.51,1433,1.568,10.12,0.79,2.48
224362,43.80,1490,1.500,9.38,0.79,2.48
224481,41.41,1576,1.384,8.62,0.79,2.48
224561,40.01,1631,1.292,8.25,0.79,0.26
224641,39.94,1668,1.232,7.50,0.79,-0.04
224722,39.69,1714,1.164,4.88,0.79,-0.37
224841,41.62,1801,1.084,-3.00,0.04,-0.04
224921,42.63,1856,1.100,-2.62,0.00,0.00
225002,44.35,1910,1.116,-2.62,0.00,0.00
225121,45.73,2004,1.112,-1.88,0.00,0.00
225201,47.70,2067,1.620,-1.88,0.00,0.00
225281,48.78,2135,1.208,-1.50,0.00,0.00
225361,49.80,2203,1.196,-1.12,0.00,0.00
225441,51.68,2230,1.196,-0.75,0.00,0.00
225521,54.16,2179,1.224,-1.12,0.00,0.00
225601,53.99,2134,1.252,-1.50,0.00,0.00
225681,52.23,2153,1.248,-1.12,0.00,0.00
225761,53.14,2142,1.252,-1.50,0.00,0.00
225841,53.86,2088,1.268,-1.50,0.00,0.00
225920,54.03,2081,1.272,-1.50,0.00,0.00
226001,52.61,2085,1.272,-1.50,0.00,0.00
226080,54.63,2059,1.276,-1.88,0.00,0.00
226160,53.38,2029,1.280,-1.88,0.00,0.00
226241,53.57,2022,1.280,-1.88,0.00,0.00
226320,53.27,2007,1.264,-1.88,0.00,0.00
226401,52.59,1980,1.256,-2.25,0.00,0.00
226481,51.56,1966,1.252,-2.25,0.00,0.00
226561,51.70,1960,1.248,-2.25,0.00,0.00
226682,51.17,1926,1.236,-2.62,0.00,0.00
226801,49.56,1905,1.220,-2.62,0.00,0.00
226880,48.44,1892,1.208,-2.62,0.00,0.00
226960,48.36,1866,1.200,-2.62,0.00,0.00
227041,47.85,1857,1.200,-2.62,0.00,0.00
227121,48.99,1842,1.244,-1.50,0.00,0.00
227200,53.34,1822,1.280,4.88,0.00,0.00
227281,60.48,1814,1.356,10.50,0.26,2.30
227362,67.02,1823,1.460,16.12,0.62,2.66
227482,87.28,1766,1.576,20.62,1.14,3.18
227601,92.88,1779,1.836,22.12,1.63,3.67
227722,99.02,1795,2.052,23.25,2.15,4.18
227840,100.78,1750,2.096,22.88,2.70,4.73
227922,48.48,1718,2.068,20.62,3.06,5.10
228041,44.82,1704,1.612,17.25,3.56,5.60
228121,44.31,1692,1.528,14.62,3.77,5.68
228201,42.72,1690,1.496,12.38,3.77,5.68
228281,42.91,1650,1.456,9.75,3.77,5.68
228361,43.80,1585,1.408,7.50,3.77,5.68
228442,41.62,1568,1.384,5.25,3.77,5.68
228560,41.15,1586,1.352,1.12,3.77,5.68
228641,42.10,1550,1.412,-0.38,3.77,5.68
228721,56.20,1532,1.632,1.88,3.77,5.68
228841,186.45,1564,3.236,5.62,3.77,5.68
228921,280.17,1586,4.796,8.25,3.77,5.68
229001,272.97,1633,5.632,10.88,3.77,3.37
229081,280.96,1547,6.016,10.50,3.77,2.79
229161,254.13,1530,6.096,11.62,1.35,2.15
229281,37.15,1607,4.148,11.25,0.37,1.17
229360,58.74,1513,3.400,9.75,-0.17,0.63
229442,50.01,1555,3.276,11.25,-0.63,0.18
229562,46.28,1620,2.680,15.38,-1.22,-0.42
229680,48.57,1544,2.276,19.12,-1.74,-0.94
229762,49.03,1529,2.120,21.38,-2.07,-1.26
229881,62.70,1550,1.948,21.00,-2.51,-1.70
229962,80.44,1571,1.892,21.00,-2.80,-2.00
230081,97.60,1565,2.020,21.38,-3.24,-2.43
230161,100.08,1554,2.104,21.38,-3.57,-2.76
230241,101.71,1529,2.176,21.38,-3.88,-3.08
230361,102.41,1532,2.256,21.75,-4.32,-3.51
230441,100.99,1540,2.276,21.75,-4.64,-3.84
230521,111.23,1523,2.304,21.75,-2.68,-4.17
230601,130.89,1517,2.704,21.75,-2.35,-4.49
230721,179.56,1539,3.380,19.88,-1.86,-4.99
230801,195.80,1539,3.852,18.75,-1.48,-2.74
230881,198.76,1537,4.136,18.75,-1.05,-2.31
230962,198.13,1549,4.472,18.75,-0.57,-1.83
231041,191.45,1574,4.572,20.25,-0.06,-1.31
231120,195.86,1574,4.648,19.88,0.47,-0.79
231200,199.25,1582,4.732,20.25,1.02,-0.24
231282,194.44,1614,4.776,20.62,1.60,0.34
231360,191.18,1627,4.732,21.00,2.18,0.93
231441,188.27,1630,4.624,21.00,2.77,-1.21
231521,179.88,1652,4.536,21.38,3.35,-1.80
231600,156.95,1681,3.960,22.12,1.18,-2.38
231681,91.86,1678,3.684,23.25,0.63,-2.94
231761,55.64,1672,2.796,22.50,0.13,-3.19
231841,47.74,1687,2.284,19.88,-0.29,-3.19
231920,44.82,1704,2.008,17.62,-0.69,-3.55
232001,45.24,1688,1.808,15.00,-1.06,-3.92
232080,42.27,1675,1.716,13.12,-1.40,-4.26
232160,43.63,1655,1.608,10.50,-1.72,-4.58
232242,41.38,1677,1.488,7.88,-2.03,-4.89
232360,40.26,1690,1.404,4.50,-2.53,-5.38
232440,42.57,1663,1.336,2.25,-2.86,-5.71
232522,41.24,1650,1.292,0.00,-3.15,-6.01
232641,41.02,1658,1.240,-3.75,-3.62,-6.23
232720,41.45,1641,1.212,-3.75,0.00,0.00
232800,42.02,1619,1.172,-4.12,0.00,0.00
232880,41.11,1621,1.148,-4.12,0.00,0.00
232961,42.04,1618,1.144,-4.12,0.00,0.00
233041,40.83,1598,1.180,-4.12,0.00,0.00
233121,42.23,1578,1.164,-4.50,0.00,0.00
233200,41.64,1567,1.144,-4.50,0.00,0.00
233281,42.74,1559,1.132,-4.50,0.00,0.00
233361,43.27,1540,1.164,-4.88,0.00,0.00
233440,47.34,1525,1.156,-2.25,0.00,0.00
233521,54.80,1520,1.252,3.75,0.00,1.97
233601,63.99,1519,1.316,9.75,2.22,2.26
233682,71.96,1505,1.416,15.75,2.52,2.55
233801,75.18,1496,1.548,19.12,2.95,2.99
233881,77.09,1495,1.640,19.50,3.25,3.28
233961,78.06,1494,1.720,19.88,3.54,3.58
234041,83.11,1487,1.800,19.88,3.83,3.87
234121,97.45,1482,1.932,19.88,4.13,4.16
234202,113.85,1488,2.172,21.00,4.42,4.46
234321,128.39,1525,2.840,21.75,4.88,4.91
234402,134.62,1537,2.992,21.75,5.21,5.24
234521,145.64,1497,3.188,21.38,5.58,5.53
234602,143.69,1527,3.376,21.75,5.58,5.53
234680,149.60,1550,3.504,21.75,5.58,5.53
234761,158.59,1541,3.644,21.38,5.58,5.53
234840,160.64,1556,3.784,21.00,5.58,5.53
234920,162.80,1578,3.888,21.38,5.58,5.53
235000,166.00,1581,3.984,21.38,5.58,5.53
235082,176.30,1591,4.096,21.38,3.13,3.32
235200,178.06,1630,4.192,22.12,2.36,2.56
235282,181.60,1644,4.272,22.50,1.85,2.04
235401,183.87,1669,4.360,22.50,1.03,1.22
235480,183.34,1689,4.348,23.25,0.48,0.68
235560,183.78,1700,4.324,23.25,-0.08,0.11
235641,182.78,1717,4.304,24.00,1.44,-0.47
235720,177.97,1740,4.276,24.38,2.03,-1.06
235800,180.81,1751,4.244,24.75,2.61,-1.65
235881,177.70,1766,4.328,24.75,3.20,0.32
235961,176.96,1797,4.320,24.75,3.80,0.92
236040,177.13,1811,4.308,24.75,4.12,1.54
236120,176.62,1824,4.336,24.75,4.12,2.17
236201,173.21,1852,4.320,24.75,4.12,2.80
236281,174.33,1864,4.336,24.75,4.12,3.46
236361,172.55,1875,4.292,25.12,4.12,4.12
236442,174.94,1905,4.308,25.12,4.12,4.20
236561,175.28,1925,4.328,25.12,4.12,4.20
236641,175.92,1934,4.328,25.12,4.12,4.20
236720,161.13,1965,4.272,25.12,1.73,4.20
236802,143.10,1970,3.928,25.88,1.04,4.20
236922,104.59,1978,3.544,25.88,0.08,4.20
237041,93.36,2008,3.200,26.62,-0.79,4.20
237160,87.56,2014,2.788,26.62,-1.56,1.74
237242,84.99,2026,2.600,26.25,-2.03,1.27
237362,79.76,2037,2.380,26.25,-2.75,0.55
237482,79.17,2052,2.168,25.50,-3.43,-0.13
237602,77.51,2060,2.056,24.75,-4.09,-0.79
237721,76.79,2061,1.944,24.38,-4.75,-1.45
237801,76.14,2061,1.884,24.00,-5.19,-1.89
237881,76.88,2059,1.848,24.00,-5.60,-2.30
238001,75.52,2059,1.804,24.00,-4.09,-2.91
238081,76.88,2077,1.780,24.00,-3.68,-3.31
238162,75.18,2087,1.756,24.00,-3.26,-3.73
238281,75.48,2079,1.724,23.62,-2.63,-4.37
238361,75.16,2069,1.708,23.62,-2.22,-4.77
238441,75.12,2070,1.700,23.62,-1.82,-4.92
238521,74.48,2088,1.704,23.62,-1.41,-4.92
238602,76.52,2087,1.696,23.62,-0.97,-4.92
238722,75.22,2086,1.744,23.62,-0.32,-2.25
238840,74.78,2098,1.744,23.62,0.34,-1.59
238922,76.11,2098,1.752,23.62,0.78,-1.15
239041,74.76,2099,1.764,23.62,1.44,-0.49
239120,74.82,2097,1.772,23.62,1.88,-0.05
239200,75.48,2097,1.740,23.62,2.32,-2.06
239281,74.86,2096,1.732,23.62,2.76,-2.50
239362,76.07,2099,1.724,23.62,3.20,-2.94
239481,74.33,2111,1.708,23.62,3.86,-3.60
239561,75.65,2111,1.696,23.62,1.74,-4.04
239641,75.35,2119,1.696,23.62,1.30,-4.48
239722,74.67,2120,1.688,23.62,0.86,-4.92
239841,76.20,2114,1.692,23.62,0.20,-5.19
239922,75.86,2123,1.696,23.62,-0.24,-5.19
240041,74.93,2131,1.724,23.62,-0.85,-3.07
240121,74.86,2133,1.728,23.62,1.44,-2.63
240201,75.75,2126,1.736,23.62,1.88,-2.19
240282,74.86,2133,1.744,23.62,2.32,-1.75
240401,75.22,2141,1.748,23.62,2.98,-1.09
240481,75.31,2139,1.716,23.62,3.42,-3.21
240561,75.27,2140,1.708,23.62,0.86,-3.65
240641,71.26,2143,1.656,23.62,0.42,-4.09
240721,63.44,2145,1.616,21.75,-0.02,-4.53
240801,56.32,2145,1.556,19.50,-0.46,-4.97
240881,55.28,2135,1.508,17.62,-0.90,-5.41
241001,53.44,2130,1.444,14.62,-1.56,-6.07
241082,54.25,2124,1.404,12.75,-2.00,-6.51
241201,53.10,2118,1.348,9.38,-2.65,-7.17
241281,53.21,2114,1.316,7.50,-3.09,-7.61
241362,53.95,2110,1.292,5.25,-3.53,-8.05
241481,53.78,2091,1.268,2.25,-3.92,-8.71
241562,53.53,2075,1.256,0.38,-1.70,-8.82
241681,53.23,2087,1.280,-1.88,0.06,0.00
241801,53.65,2044,1.284,-2.25,0.00,0.00
241920,52.81,2051,1.276,-2.25,0.00,0.00
242001,54.01,2031,1.280,-2.25,0.00,0.00
242082,52.98,2018,1.272,-2.25,0.00,0.00
242201,52.87,2022,1.272,-2.25,0.00,0.00
242280,53.19,2010,1.260,-2.25,0.00,0.00
242360,53.06,1989,1.264,-2.62,0.00,0.00
242441,52.38,1988,1.256,-2.62,0.00,0.00
242521,52.32,1990,1.260,-2.62,0.00,0.00
242601,52.87,1970,1.244,-2.62,0.00,0.00
242681,51.81,1956,1.244,-2.62,0.00,0.00
242761,51.92,1952,1.244,-2.62,0.00,0.00
242881,50.03,1915,1.216,-3.00,0.00,0.00
242961,49.80,1896,1.216,-3.00,0.00,0.00
243040,48.74,1880,1.204,-3.00,0.00,0.00
243121,48.00,1851,1.184,-3.38,0.00,0.00
243200,47.80,1801,1.168,-3.38,0.00,0.00
243281,46.70,1784,1.152,-3.38,0.00,0.00
243362,45.41,1773,1.144,-3.75,0.00,0.00
243481,45.33,1715,1.112,-3.75,0.00,0.00
243561,44.52,1684,1.100,-4.12,0.00,0.00
243640,43.57,1657,1.084,-4.12,0.00,0.00
243721,42.80,1622,1.064,-4.50,0.00,0.00
243802,42.13,1582,1.116,-4.88,0.00,0.00
243921,42.59,1532,1.096,-5.25,0.00,0.00
244041,44.05,1481,0.884,-6.00,0.00,0.00
244122,45.16,1445,0.940,-6.38,0.00,0.00
244241,46.87,1392,0.788,-7.12,0.00,0.00
244321,49.29,1352,0.820,-7.88,0.00,0.00
244401,50.45,1321,1.040,-8.25,0.00,0.00
244482,53.02,1283,1.128,-8.62,0.00,0.00
244561,55.67,1247,1.144,-9.00,0.00,0.00
244640,56.45,1230,1.524,-9.38,0.00,0.00
244722,57.62,1229,1.428,-9.38,0.00,0.00
244801,56.81,1222,1.308,-9.38,0.00,0.00
244881,59.06,1199,1.560,-9.75,0.00,0.00
244961,59.86,1183,1.520,-10.12,0.00,0.00
245041,59.86,1183,1.540,-10.12,0.00,0.00
245121,60.41,1172,1.520,-10.12,0.00,0.00
245201,62.83,1149,1.560,-10.88,0.00,0.00
245281,63.89,1130,1.592,-11.25,0.00,0.00
245362,64.59,1118,1.608,-11.25,0.00,0.00
245481,67.09,1097,1.592,-6.00,0.00,0.00
245561,71.26,1091,1.660,-1.12,0.14,1.96
245640,74.44,1119,1.676,3.00,0.33,2.15
245723,88.74,1064,1.780,7.88,0.51,2.34
245840,96.73,1048,1.992,12.00,0.79,2.61
245921,100.19,1081,2.088,12.75,0.97,2.80
246041,108.62,1061,2.260,12.75,1.25,3.07
246121,109.23,1055,2.392,12.75,1.43,3.25
246200,110.57,1055,2.472,12.75,1.63,3.45
246281,112.58,1036,2.548,12.38,1.85,3.67
246361,113.92,1024,2.612,12.00,2.07,3.89
246440,113.58,1027,2.660,12.00,2.28,4.11
246520,114.13,1022,2.732,12.00,2.50,4.33
246601,114.45,1007,2.772,11.62,2.72,4.55
246680,116.06,1005,2.800,11.62,2.94,4.77
246760,116.29,1015,2.828,11.62,3.16,4.88
246841,116.16,1016,2.844,11.62,3.38,4.88
246921,125.61,1006,2.908,11.62,3.60,4.88
247001,139.68,1004,3.012,11.62,3.82,4.88
247082,154.60,1006,3.152,11.62,4.04,4.88
247200,171.17,1014,3.712,12.00,4.37,4.88
247282,178.82,1025,3.968,12.00,4.63,4.88
247401,200.90,1023,4.312,11.62,5.07,4.88
247480,213.43,1028,4.792,10.88,5.39,4.88
247560,220.86,1050,5.116,11.25,5.72,4.88
247641,238.66,1059,5.424,10.88,6.08,4.88
247721,254.49,1064,5.912,10.12,6.46,5.03
247801,264.56,1076,6.280,10.12,6.88,5.45
247883,274.69,1097,6.608,9.75,7.33,5.50
248000,304.03,1119,7.252,4.12,7.77,5.50
248082,310.07,1142,7.708,4.50,7.77,5.50
248160,313.34,1170,7.980,5.25,7.77,5.50
248241,327.92,1190,8.284,5.62,7.77,5.50
248320,329.50,1218,8.576,8.25,7.77,5.50
248403,322.91,1260,8.644,8.25,7.77,5.50
248522,396.30,1300,9.708,9.75,7.77,3.40
248601,445.82,1355,10.864,9.00,7.77,2.70
248681,402.42,1401,10.604,8.62,5.68,1.93
248762,384.98,1414,10.244,9.75,4.90,1.16
248881,374.15,1492,9.908,10.12,3.69,-0.06
248961,375.76,1530,9.732,13.50,2.84,-0.90
249081,373.66,1572,9.556,13.88,1.53,-2.21
249202,371.99,1650,9.604,14.62,0.18,-0.32
249321,377.99,1701,9.724,14.62,-1.24,1.09
249401,369.26,1745,9.764,15.00,0.37,2.07
249481,363.98,1797,9.740,15.38,1.38,3.07
249562,365.04,1826,9.848,15.75,2.40,4.09
249681,362.96,1890,9.728,16.50,3.98,5.67
249760,358.85,1931,9.700,16.88,5.06,6.75
249841,358.79,1970,9.720,17.25,6.16,7.58
249920,356.12,2016,9.716,17.62,7.30,7.58
250002,354.23,2066,9.636,18.38,8.44,7.58
250121,351.63,2105,9.416,18.75,9.17,7.58
250202,348.96,2141,9.308,19.12,9.17,7.58
250322,350.46,2207,9.260,19.50,9.17,7.58
250442,339.68,2273,8.960,19.88,9.17,5.15
250561,331.94,2326,8.488,20.62,9.17,3.33
250642,316.39,2357,8.116,21.00,6.89,2.13
250722,299.03,2387,7.684,21.38,5.69,0.92
250842,289.46,2442,7.476,21.75,3.89,1.25
250961,274.28,2496,7.164,22.50,2.09,3.05
251040,267.50,2523,6.844,23.25,0.88,1.80
251121,235.80,2544,6.464,23.62,-0.30,0.62
251201,262.33,2562,6.180,24.00,-1.48,-0.57
251281,258.52,2589,6.060,24.00,-2.65,-1.74
251401,254.79,2627,6.112,24.38,-0.50,1.01
251521,252.01,2678,6.096,24.75,1.29,2.80
251641,250.34,2707,6.124,25.12,3.10,4.61
251720,243.77,2723,6.144,25.50,4.31,5.81
251801,240.38,2773,6.100,25.88,5.53,7.04
251882,242.58,2782,5.928,25.88,6.78,4.12
252000,237.46,2807,5.732,26.25,5.73,2.29
252083,231.44,2850,5.604,26.62,4.50,1.06
252201,234.51,2866,5.436,27.00,2.63,-0.66
252321,228.00,2905,5.512,27.38,0.76,2.55
252443,229.00,2935,5.532,27.75,1.16,4.42
252561,225.02,2956,5.392,27.75,3.03,2.48
252682,228.11,2983,5.292,28.12,4.93,0.58
252761,213.43,3006,5.048,28.50,6.21,-0.71
252841,131.78,3003,3.940,30.00,3.65,0.50
252920,66.26,2976,3.092,28.12,2.50,1.64
253002,63.53,2994,2.280,19.50,1.56,-1.18
253121,68.80,2906,1.688,5.25,0.00,0.00
253202,70.80,2805,1.600,4.88,0.00,0.00
253319,68.97,2617,1.544,4.12,0.00,0.00
253399,64.95,2480,1.620,3.38,0.00,0.00
253480,64.59,2365,1.552,3.00,0.00,0.00
253559,61.90,2243,1.520,2.25,0.00,0.00
253639,59.73,2115,1.468,1.50,0.00,0.00
253720,59.73,1999,1.560,6.38,0.00,0.00
253799,60.62,1947,1.568,12.75,2.12,2.17
253879,61.73,1957,1.568,19.50,2.52,2.57
253961,67.09,1966,1.576,21.38,2.93,2.98
254079,74.29,1944,1.648,22.12,3.53,3.58
254159,74.46,1958,1.696,22.50,3.93,3.98
254240,76.35,1946,1.748,22.50,4.34,4.39
254319,78.81,1938,1.808,22.88,4.74,4.79
254399,80.71,1944,1.844,23.25,5.14,5.04
254479,80.80,1942,1.884,23.25,5.55,5.04
254559,83.11,1938,1.928,23.25,5.95,5.04
254640,83.83,1938,1.968,23.62,6.33,5.04
254719,84.59,1937,1.996,23.62,6.43,5.04
254800,86.65,1923,2.020,23.62,6.43,5.04
254880,85.16,1924,2.052,23.62,6.43,5.04
254959,87.09,1929,2.072,24.00,6.43,5.04
255040,87.51,1920,2.092,24.00,6.43,5.04
255119,89.32,1912,2.120,24.00,6.43,5.04
255201,91.12,1920,2.156,24.38,6.43,5.04
255319,93.79,1910,2.140,24.38,6.43,2.56
255400,92.47,1907,2.164,24.38,6.43,2.16
255479,93.98,1906,2.180,24.38,6.43,1.76
255560,94.80,1904,2.192,24.75,6.43,1.36
255640,95.38,1907,2.204,24.75,3.95,0.95
255719,95.59,1903,2.212,24.75,3.55,0.55
255800,98.34,1906,2.228,24.75,3.15,0.15
255880,98.77,1898,2.244,25.12,2.74,-0.26
255959,99.55,1897,2.260,25.12,2.34,-0.66
256040,99.44,1899,2.268,25.12,1.93,-1.07
256119,101.12,1895,2.268,25.12,1.49,-1.51
256199,102.54,1896,2.276,25.50,1.05,-1.95
256280,101.97,1893,2.288,25.12,0.61,-2.39
256359,102.86,1890,2.296,25.12,0.17,-2.83
256440,103.53,1891,2.304,25.50,-0.27,-3.27
256520,105.80,1890,2.388,25.12,-0.71,-1.07
256601,106.35,1893,2.428,25.12,-1.15,-0.63
256680,110.70,1894,2.468,25.50,-1.59,-0.19
256759,110.38,1887,2.512,25.50,-2.03,0.25
256840,109.09,1884,2.536,25.50,-2.47,0.69
256919,109.43,1878,2.564,25.50,-0.60,1.13
257000,108.85,1888,2.588,25.50,-0.16,1.57
257079,105.51,1882,2.584,25.50,0.28,2.01
257159,99.61,1882,2.536,25.50,0.72,2.06
257240,94.74,1876,2.460,25.50,1.05,2.06
257319,97.60,1878,2.408,25.12,1.05,2.06
257400,96.86,1878,2.384,25.12,1.05,2.06
257479,96.16,1877,2.356,25.12,1.05,2.06
257560,97.28,1870,2.336,24.75,1.05,2.06
257641,97.96,1871,2.332,24.75,1.05,2.06
257760,96.52,1870,2.332,24.75,1.05,2.06
257840,98.02,1870,2.340,24.75,1.05,2.06
257919,99.61,1868,2.292,24.75,1.05,-0.36
257999,99.02,1865,2.280,24.75,1.05,-0.77
258081,102.01,1865,2.288,25.12,-1.33,-1.17
258199,99.34,1859,2.284,25.12,-1.93,-1.77
258280,100.61,1863,2.288,25.12,-2.33,-2.18
258359,103.03,1860,2.296,25.12,-2.74,-2.58
258439,103.13,1858,2.364,25.12,-3.14,-0.49
258521,111.04,1851,2.420,24.75,-0.75,-0.09
258639,124.07,1858,2.632,25.50,-0.15,0.51
258720,136.91,1856,2.812,25.50,0.28,0.94
258799,139.39,1863,3.008,26.62,0.72,1.38
258880,141.34,1857,3.148,26.62,1.17,1.83
258961,141.40,1856,3.252,25.88,1.65,2.31
259080,144.09,1860,3.384,25.50,2.36,3.02
259160,142.44,1862,3.416,25.50,2.84,3.50
259239,143.27,1861,3.452,25.50,3.22,3.56
259319,143.92,1862,3.480,25.50,3.22,3.56
259400,146.68,1865,3.500,25.50,3.22,3.56
259479,145.62,1869,3.516,25.50,3.22,3.56
259560,146.06,1873,3.520,25.50,3.22,3.56
259639,147.19,1868,3.532,25.50,3.22,3.56
259719,145.38,1872,3.552,25.50,3.22,3.56
259800,143.80,1883,3.544,25.88,3.22,3.56
259879,141.15,1879,3.444,25.88,3.22,1.28
259960,135.32,1888,3.384,25.88,0.60,0.73
260041,131.40,1881,3.280,25.88,0.06,0.19
260161,117.24,1883,3.064,25.88,-0.71,-0.58
260280,101.92,1880,2.832,26.25,-1.43,-1.30
260360,89.13,1885,2.632,26.62,-1.89,-1.76
260481,86.46,1879,2.284,25.50,-2.55,-2.42
260600,82.68,1881,2.096,24.75,-3.17,-3.03
260679,79.97,1875,2.012,24.38,-3.57,-3.44
260759,80.88,1871,1.964,24.00,-3.97,-3.84
260839,80.23,1869,1.968,23.62,-4.35,-1.71
260919,77.79,1874,1.936,23.62,-2.55,-1.35
261000,79.84,1878,1.912,23.62,-2.16,-0.96
261079,79.27,1874,1.896,23.25,-1.76,-0.56
261159,78.55,1856,1.892,23.25,-1.39,-0.19
261239,78.64,1854,1.884,23.25,-1.03,0.17
261320,78.47,1858,1.888,23.25,-0.66,0.54
261400,79.25,1857,1.892,23.25,-0.29,0.91
261479,78.72,1852,1.880,23.25,0.07,1.27
261559,76.64,1848,1.876,22.88,0.44,1.36
261641,78.40,1842,1.872,22.88,0.80,1.36
261761,86.22,1836,1.952,22.88,1.35,1.36
261839,105.89,1836,2.092,24.00,1.72,1.36
261921,121.14,1834,2.264,25.12,2.12,1.36
262039,129.68,1831,2.624,25.50,2.72,1.36
262121,135.83,1830,2.812,25.50,3.15,1.36
262239,146.70,1827,3.108,25.50,3.81,1.36
262320,151.08,1829,3.264,25.88,4.28,1.36
