Time (msec),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Idle speed controller (%),* Idle speed duty cycle (%),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Knock sensor 1 (V),* Knock sensor 2 (V),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda post cat heating 2 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Throttle adaptation (V),* Vehicle Speed (km/h),* Battery voltage (V),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,102.8,0,92.30,722,3.020,1.334,34.144,4.50,69.0,0.10,0.10,12.80,12.67,99,99,99,99,12.00,95.3,70.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
160,102.8,0,91.92,725,3.012,1.325,34.114,4.50,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
320,102.8,0,91.67,727,3.012,1.306,34.114,4.12,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
521,102.8,0,91.80,726,3.008,1.285,34.065,4.12,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
720,102.8,0,91.80,726,3.000,1.267,34.065,4.12,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
880,102.8,0,92.18,723,2.992,1.260,34.065,4.50,69.0,0.10,0.10,12.80,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1040,102.8,0,92.58,720,2.960,1.257,34.095,4.88,69.0,0.10,0.10,11.32,12.70,99,99,99,99,12.00,95.3,71.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1217,102.8,0,92.58,720,2.960,1.260,34.048,4.88,69.0,0.10,0.10,11.17,11.26,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1400,102.8,0,92.58,720,2.956,1.260,34.095,4.88,69.0,0.10,0.10,10.99,11.08,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1601,102.8,0,92.58,720,2.952,1.257,34.065,4.88,69.0,0.10,0.10,10.81,10.89,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
1800,102.8,0,90.52,721,2.944,1.260,34.048,4.50,69.0,0.10,0.10,10.62,10.71,99,99,99,99,11.75,95.3,72.0,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
1960,102.8,0,92.83,718,2.936,1.264,34.111,5.25,69.0,0.10,0.10,10.48,10.56,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2160,102.8,0,93.09,716,2.940,1.273,34.079,5.25,69.0,0.10,0.10,10.29,10.38,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2319,102.8,0,91.80,711,2.980,1.285,34.111,6.00,69.0,0.10,0.10,11.63,10.23,99,99,99,99,11.75,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2483,102.8,0,93.87,710,2.996,1.297,34.111,6.38,69.0,0.10,0.10,11.78,11.67,99,99,99,99,12.00,95.3,72.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2682,102.8,0,93.09,716,2.996,1.309,34.098,5.25,69.0,0.10,0.10,11.96,11.85,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
2880,102.8,0,92.58,720,3.004,1.312,34.129,4.88,69.0,0.10,0.10,12.15,12.03,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3040,102.8,0,92.05,724,3.008,1.309,34.195,4.50,69.0,0.10,0.10,12.29,12.18,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3200,102.8,0,92.18,723,3.008,1.306,34.098,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3360,102.8,0,91.92,725,3.008,1.300,34.144,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
3520,102.8,0,92.18,723,3.008,1.291,34.082,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
3680,102.8,0,92.18,723,3.008,1.288,34.129,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3840,102.8,0,92.45,721,3.008,1.282,34.111,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
3999,102.8,0,92.30,722,3.004,1.273,34.082,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,72.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4161,102.8,0,92.18,723,3.000,1.264,34.098,4.50,69.0,0.10,0.10,12.34,12.24,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4362,102.8,0,91.92,725,2.952,1.254,34.111,4.12,69.0,0.10,0.10,10.80,10.72,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4560,102.8,0,92.45,721,2.948,1.248,34.079,4.50,69.0,0.10,0.10,10.61,10.54,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4720,102.8,0,92.58,720,2.944,1.248,34.031,4.88,69.0,0.10,0.10,10.47,10.39,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
4880,102.8,0,92.83,718,2.944,1.251,34.079,5.25,69.0,0.10,0.10,10.32,10.24,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
5041,102.8,0,93.09,716,2.952,1.264,34.095,5.25,69.0,0.10,0.10,10.17,10.10,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
5241,102.8,0,93.09,716,2.944,1.276,34.082,5.25,69.0,0.10,0.10,9.99,9.91,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
5442,102.8,0,92.71,719,2.936,1.285,34.111,5.25,69.0,0.10,0.10,9.81,9.73,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
5640,102.8,0,93.21,715,2.936,1.288,34.082,5.62,69.0,0.10,0.10,9.62,11.24,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
5802,102.8,0,92.58,720,2.932,1.291,34.129,4.88,69.0,0.10,0.10,9.48,11.38,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
6001,102.8,0,92.96,717,2.976,1.300,34.144,5.25,69.0,0.10,0.10,11.00,11.57,99,99,99,99,12.00,95.3,73.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
6200,102.8,0,92.58,720,2.972,1.306,34.114,4.88,69.0,0.10,0.10,11.19,11.75,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
6361,102.8,0,92.30,722,2.976,1.309,34.144,4.50,69.0,0.10,0.10,11.33,11.76,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
6560,102.8,0,92.83,718,2.980,1.309,34.111,5.25,69.0,0.10,0.10,11.52,11.76,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
6720,102.8,0,92.83,718,2.984,1.312,34.129,4.88,69.0,0.10,0.10,11.59,11.76,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
6880,102.8,0,92.18,723,2.984,1.312,34.144,4.50,69.0,0.10,0.10,11.59,11.76,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
7042,102.8,0,92.05,724,2.984,1.309,34.144,4.50,69.0,0.10,0.10,11.59,11.76,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
7242,102.8,0,92.30,722,2.980,1.303,34.114,4.50,69.0,0.10,0.10,11.59,11.76,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
7440,102.8,0,92.58,720,2.976,1.303,34.114,4.88,69.0,0.10,0.10,11.59,10.25,99,99,99,99,12.00,95.3,74.2,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
7600,102.8,0,92.45,721,2.976,1.300,34.114,4.50,69.0,0.10,0.10,11.59,10.11,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
7761,102.8,0,91.54,713,2.936,1.306,34.114,6.00,69.0,0.10,0.10,10.18,9.96,99,99,99,99,11.75,95.3,75.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
7960,102.8,0,92.96,717,2.932,1.315,34.132,5.25,69.0,0.10,0.10,10.00,9.78,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
8160,102.8,0,93.62,712,2.940,1.328,34.195,6.00,69.0,0.10,0.10,9.82,11.08,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
8320,102.8,0,93.62,712,2.944,1.343,34.144,6.00,69.0,0.10,0.10,9.67,11.23,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
8479,102.8,0,93.21,715,2.980,1.352,34.147,5.62,69.0,0.10,0.10,10.97,11.37,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
8641,102.8,0,92.83,718,2.984,1.352,34.213,4.88,69.0,0.10,0.10,11.12,11.52,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
8801,102.8,0,92.18,723,2.988,1.349,34.147,4.50,69.0,0.10,0.10,11.27,11.67,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
9000,102.8,0,92.30,722,2.988,1.343,34.195,4.50,69.0,0.10,0.10,11.45,11.85,99,99,99,99,12.00,95.3,75.0,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
9160,102.8,0,92.96,717,2.992,1.343,34.163,5.25,69.0,0.10,0.10,11.60,11.87,99,99,99,99,12.00,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
9320,102.8,0,92.71,719,2.992,1.340,34.132,4.88,69.0,0.10,0.10,11.72,11.87,99,99,99,99,12.00,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
9480,102.8,0,91.27,715,2.988,1.340,34.178,5.62,69.0,0.10,0.10,11.72,11.87,99,99,99,99,11.75,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
9641,102.8,0,91.54,713,2.984,1.343,34.147,5.25,69.0,0.10,0.10,11.72,11.87,99,99,99,99,11.75,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
9840,102.8,0,92.71,719,2.972,1.355,34.195,4.88,69.0,0.10,0.10,11.72,11.87,99,99,99,99,12.00,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
10001,102.8,0,91.01,717,2.980,1.358,34.147,5.25,69.0,0.10,0.10,11.72,11.87,99,99,99,99,11.75,95.3,75.8,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
10160,102.8,0,92.96,717,2.972,1.361,34.213,5.25,69.0,0.10,0.10,11.72,10.45,99,99,99,99,12.00,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
10320,102.8,0,92.96,717,2.972,1.358,34.198,5.25,69.0,0.10,0.10,11.72,10.30,99,99,99,99,12.00,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
10480,102.8,0,92.96,717,2.936,1.364,34.213,5.25,69.0,0.10,0.10,10.25,10.15,99,99,99,99,12.00,95.3,75.8,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
10641,102.8,0,90.65,720,2.932,1.364,34.213,4.88,69.0,0.10,0.10,10.10,10.01,99,99,99,99,11.75,95.3,76.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
10841,102.8,0,91.14,716,2.940,1.380,34.228,5.25,69.0,0.10,0.10,9.92,11.49,99,99,99,99,11.75,95.3,76.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
11040,102.8,0,92.58,720,2.976,1.392,34.213,4.88,69.0,0.10,0.10,11.37,11.68,99,99,99,99,12.00,95.3,76.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
11202,102.8,0,90.76,719,2.972,1.395,34.198,4.88,69.0,0.10,0.10,11.52,11.82,99,99,99,99,11.75,95.3,76.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
11399,102.8,0,90.88,718,2.968,1.395,34.213,5.25,69.0,0.10,0.10,11.70,12.01,99,99,99,99,11.75,95.3,76.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
11560,102.8,0,90.76,719,2.968,1.398,34.213,4.88,69.0,0.10,0.10,11.84,12.15,99,99,99,99,11.75,96.1,76.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
11720,102.8,0,90.52,721,2.968,1.401,34.213,4.50,69.0,0.10,0.10,11.99,12.30,99,99,99,99,11.75,96.1,76.5,0.0,0.0,0.19,0,13.5,0.00,0.00,0.00,0.00
11882,102.8,0,92.58,720,2.984,1.404,34.198,4.88,69.0,0.10,0.10,12.14,12.45,99,99,99,99,12.00,96.1,76.5,0.0,0.0,0.19,0,13.4,0.00,0.00,0.00,0.00
12081,102.8,0,93.47,713,3.004,1.419,34.637,5.25,69.0,0.10,0.10,12.32,12.63,99,99,99,99,12.00,96.1,76.5,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
12280,102.8,0,95.16,715,3.032,1.462,35.306,4.88,69.0,0.10,0.10,12.50,12.81,99,99,99,99,12.25,96.1,76.5,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
12441,102.8,0,97.52,712,3.084,1.508,35.805,4.88,69.0,0.10,0.10,12.57,12.81,99,99,99,99,12.50,96.1,76.5,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
12641,102.8,0,102.92,715,3.160,1.599,36.757,3.38,69.0,0.10,0.10,12.57,12.81,99,99,99,99,13.25,96.1,76.5,0.0,0.0,0.19,0,13.1,0.00,0.00,0.00,0.00
12841,102.8,0,106.08,720,3.256,1.685,37.605,1.88,69.0,0.10,0.10,12.57,12.81,99,99,99,99,13.75,96.1,76.5,0.0,0.0,0.19,0,13.1,0.00,0.00,0.00,0.00
13041,102.8,0,105.80,735,3.332,1.734,37.921,0.00,69.0,0.10,0.10,12.57,12.81,99,99,99,99,14.00,96.1,76.5,0.0,0.0,0.19,0,13.2,0.00,0.00,0.00,0.00
13241,102.8,0,105.08,740,3.412,1.773,37.921,-0.75,69.0,0.10,0.10,12.57,12.81,99,99,99,99,14.00,96.1,77.2,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
13443,102.8,0,104.11,747,3.412,1.785,37.924,-1.88,69.0,0.10,0.10,11.19,11.37,99,99,99,99,14.00,96.1,77.2,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
13640,102.8,0,105.25,752,3.364,1.782,37.924,-2.62,69.0,0.10,0.10,11.01,11.19,99,99,99,99,14.25,96.1,77.2,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
13800,102.8,0,104.28,759,3.360,1.767,37.924,-3.00,69.0,0.10,0.10,10.86,11.04,99,99,99,99,14.25,96.1,77.2,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
13961,102.8,0,106.12,759,3.360,1.740,37.868,-3.00,69.0,0.10,0.10,10.71,10.89,99,99,99,99,14.50,96.1,77.2,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
14161,102.8,0,108.68,741,3.376,1.740,37.894,-0.75,69.0,0.10,0.10,10.53,10.71,99,99,99,99,14.50,96.1,77.2,0.0,0.0,0.19,0,13.3,0.00,0.00,0.00,0.00
14360,102.8,0,109.79,721,3.388,1.804,37.981,1.50,69.0,0.10,0.10,10.35,10.53,99,99,99,99,14.25,96.1,77.2,0.0,0.0,0.19,0,13.1,0.00,0.00,0.00,0.00
14562,102.8,0,109.53,710,3.428,1.907,38.339,2.25,69.0,0.10,0.10,10.16,10.34,99,99,99,99,14.00,96.1,77.2,0.0,0.0,0.19,0,13.0,0.00,0.00,0.00,0.00
14760,102.8,0,113.28,711,3.476,2.023,39.038,2.25,69.0,0.10,0.10,9.98,10.16,99,99,99,99,14.50,96.1,78.0,0.0,0.0,0.19,0,13.0,0.00,0.00,0.00,0.00
14921,102.8,0,117.84,707,3.556,2.152,40.204,2.25,69.0,0.10,0.10,9.84,10.02,99,99,99,99,15.00,96.1,78.0,0.0,0.4,0.19,0,13.0,0.00,0.00,0.00,0.00
15120,102.8,0,123.22,710,3.584,2.280,41.262,2.62,69.0,0.10,0.10,9.64,9.82,99,99,99,99,15.75,96.1,78.0,0.0,1.2,0.19,0,13.0,0.00,0.00,0.00,0.00
15280,102.8,0,132.44,713,3.716,1.108,41.866,1.88,69.0,0.10,0.10,9.35,9.53,99,99,99,99,17.00,96.1,78.0,0.0,3.9,0.19,0,13.1,0.00,0.00,0.00,0.00
15440,102.8,0,132.71,722,3.820,1.032,42.891,2.62,69.0,0.10,0.10,9.06,9.24,99,99,99,99,17.25,96.1,78.0,0.0,5.1,0.18,0,13.2,0.00,0.00,0.00,0.00
15601,102.8,0,136.95,730,3.936,1.032,42.829,4.12,69.0,0.10,0.10,10.67,8.94,99,99,99,99,18.00,96.1,78.0,0.0,5.1,0.19,0,13.2,0.00,0.00,0.00,0.00
15802,102.8,0,139.83,715,4.128,1.032,42.879,5.25,69.0,0.10,0.10,11.03,10.64,99,99,99,99,18.00,96.1,78.0,0.0,5.1,0.18,0,13.2,0.00,0.00,0.00,0.00
16001,102.8,0,136.74,721,4.236,1.032,42.279,7.12,69.0,0.10,0.10,11.40,11.01,99,99,99,99,17.75,96.1,78.0,0.0,5.1,0.19,0,13.2,0.00,0.00,0.00,0.00
16201,102.8,0,129.47,740,4.284,1.032,42.078,7.88,69.0,0.10,0.10,11.76,11.38,99,99,99,99,17.25,96.1,78.8,0.0,5.1,0.19,0,13.2,0.00,0.00,0.00,0.00
16402,102.8,0,122.20,784,4.244,1.032,42.285,7.88,69.0,0.10,0.10,12.13,9.50,99,99,99,99,17.25,96.1,78.8,0.0,5.5,0.19,0,13.3,0.00,0.00,0.00,0.00
16600,103.5,0,133.22,813,4.100,1.032,45.536,7.88,69.0,0.10,0.10,9.74,9.05,99,99,99,99,19.50,96.1,78.8,0.0,7.8,0.19,0,13.4,0.00,0.00,0.00,0.00
16760,103.5,0,148.90,774,4.180,1.032,47.161,7.88,69.0,0.10,0.10,9.39,8.70,99,99,99,99,20.75,96.1,78.8,0.0,7.8,0.18,0,13.2,0.00,0.00,0.00,0.00
16921,103.5,0,184.20,686,4.380,1.032,47.927,7.50,69.0,0.10,0.10,9.10,8.40,99,99,99,99,22.75,96.1,78.8,0.0,7.8,0.19,0,12.8,0.00,0.00,0.00,0.00
17120,102.8,0,297.76,527,6.036,1.032,52.525,4.88,69.0,0.10,0.10,8.82,8.10,99,99,99,99,28.25,96.1,78.8,1.6,8.2,0.18,0,12.2,0.00,0.00,0.00,0.00
17320,102.8,0,536.47,453,9.204,1.032,58.821,0.75,69.0,0.10,0.10,11.16,10.19,99,99,99,99,43.75,96.1,78.8,4.7,9.8,0.18,0,12.1,0.00,0.00,0.00,0.00
17480,102.8,0,469.80,535,11.324,1.032,61.998,-6.38,69.0,0.10,0.10,11.76,10.79,99,99,99,99,45.25,96.1,78.8,5.1,10.2,0.19,0,12.4,0.00,0.00,0.00,0.00
17641,103.5,0,187.66,777,9.768,1.032,52.290,-0.38,69.0,0.10,0.10,9.26,8.54,99,99,99,99,26.25,96.1,79.5,0.0,10.2,0.18,0,12.6,0.00,0.00,0.00,0.00
17842,103.5,0,114.66,1090,6.980,1.032,49.838,8.25,69.0,0.10,0.10,8.18,7.45,99,99,99,99,22.50,96.1,79.5,0.0,10.2,0.19,0,13.3,0.00,0.00,0.00,0.00
18042,103.5,0,114.04,1254,5.724,1.032,50.334,14.62,69.0,0.12,0.12,7.02,6.29,99,99,99,99,25.75,96.1,79.5,0.0,10.5,0.18,0,13.3,0.00,0.00,0.00,0.00
18243,102.8,0,116.82,1260,4.876,1.032,50.279,16.12,69.0,0.16,0.14,5.93,5.20,99,99,99,99,26.50,96.1,79.5,0.0,10.5,0.17,0,13.3,0.00,0.00,0.00,0.00
18441,102.8,0,129.96,1154,4.400,1.032,50.614,14.25,69.0,0.21,0.16,5.07,4.34,99,99,99,99,27.00,96.1,79.5,0.0,10.5,0.16,0,13.3,0.00,0.00,0.00,0.00
18600,103.5,0,145.60,1030,4.404,1.032,51.081,11.62,69.0,0.23,0.16,4.50,3.77,99,99,99,99,27.00,96.1,79.5,0.0,10.9,0.16,2,13.3,0.00,0.00,0.00,0.00
18760,103.5,0,183.02,865,4.516,1.032,52.470,9.00,69.0,0.25,0.16,4.00,3.28,99,99,99,99,28.50,96.1,79.5,0.0,10.9,0.17,2,13.0,0.00,0.00,0.00,0.00
18920,103.5,0,229.51,720,5.188,1.032,54.434,7.50,69.0,0.23,0.16,3.58,2.85,99,99,99,99,29.75,96.1,79.5,0.0,10.5,0.17,2,12.5,0.00,0.00,0.00,0.00
19081,103.5,0,113.81,610,5.416,4.370,39.378,8.25,69.0,0.23,0.14,3.36,2.77,99,99,99,99,12.50,96.1,79.5,0.0,0.0,0.18,2,12.3,0.00,0.00,0.00,0.00
19280,103.5,0,153.33,643,5.212,3.562,37.366,9.38,69.0,0.21,0.14,5.55,4.90,99,99,99,99,17.75,96.1,79.5,0.0,0.0,0.18,2,12.4,0.00,0.00,0.00,0.00
19440,103.5,0,82.66,823,4.832,1.557,35.049,-2.25,69.0,0.20,0.14,6.00,5.35,99,99,99,99,12.25,96.1,79.5,0.0,0.0,0.19,2,12.6,0.00,0.00,0.00,0.00
19602,103.5,0,70.48,926,3.976,-0.345,32.876,-4.12,69.0,0.20,0.12,3.90,3.61,99,99,99,99,11.75,96.1,80.2,0.0,0.0,0.18,3,12.8,0.00,0.00,0.00,0.00
19802,103.5,0,60.43,965,3.396,-1.544,31.437,-3.75,69.0,0.20,0.12,3.35,3.06,99,99,99,99,10.50,96.1,80.2,0.0,0.0,0.19,3,13.3,0.00,0.00,0.00,0.00
20000,103.5,0,62.17,938,2.892,-0.763,32.238,-3.00,69.0,0.20,0.12,2.82,2.53,99,99,99,99,10.50,96.1,80.2,0.0,0.0,0.19,3,13.3,0.00,0.00,0.00,0.00
20160,103.5,0,66.64,896,2.688,-0.372,32.673,-2.25,69.0,0.20,0.12,2.45,2.16,99,99,99,99,10.75,96.1,80.2,0.0,0.0,0.19,3,13.2,0.00,0.00,0.00,0.00
20321,103.5,0,75.01,833,2.572,0.018,33.128,-1.12,69.0,0.20,0.12,2.13,1.84,99,99,99,99,11.25,96.1,80.2,0.0,0.0,0.19,3,12.9,0.00,0.00,0.00,0.00
20520,103.5,0,84.82,753,2.508,0.800,34.050,2.62,69.0,0.20,0.12,1.79,1.50,99,99,99,99,11.50,96.1,80.2,0.0,0.0,0.19,4,12.6,0.00,0.00,0.00,0.00
20681,103.5,0,90.76,719,2.528,0.803,34.022,5.62,69.0,0.18,0.12,1.57,1.28,99,99,99,99,11.75,96.1,80.2,0.0,0.0,0.19,4,12.5,0.00,0.00,0.00,0.00
20880,103.5,0,93.77,696,2.572,0.867,34.120,8.62,69.0,0.18,0.12,1.29,1.00,99,99,99,99,11.75,96.1,80.2,0.0,0.0,0.19,4,12.5,0.00,0.00,0.00,0.00
21042,103.5,0,93.24,700,2.612,0.916,34.153,8.62,69.0,0.18,0.12,1.07,0.78,99,99,99,99,11.75,96.1,80.2,0.0,0.0,0.19,4,12.6,0.00,0.00,0.00,0.00
21241,103.5,0,93.74,711,2.692,0.961,34.271,6.75,69.0,0.16,0.10,1.02,0.77,99,99,99,99,12.00,96.1,80.2,0.0,0.0,0.19,4,12.7,0.00,0.00,0.00,0.00
21443,103.5,0,92.58,720,2.740,0.980,34.271,5.62,69.0,0.16,0.10,2.81,2.56,99,99,99,99,12.00,96.1,80.2,0.0,0.0,0.19,4,12.8,0.00,0.00,0.00,0.00
21640,103.5,0,92.18,723,2.748,0.971,34.271,4.50,69.0,0.14,0.10,3.08,2.84,99,99,99,99,12.00,96.1,80.2,0.0,0.0,0.19,2,12.8,0.00,0.00,0.00,0.00
21801,103.5,0,92.30,722,2.752,0.967,34.239,4.50,69.0,0.14,0.10,3.30,3.06,99,99,99,99,12.00,96.1,80.2,0.0,0.0,0.19,2,12.8,0.00,0.00,0.00,0.00
22002,103.5,0,93.09,716,2.768,0.980,34.390,5.62,69.0,0.12,0.10,3.58,3.33,99,99,99,99,12.00,96.1,80.2,0.0,0.0,0.19,2,13.0,0.00,0.00,0.00,0.00
22201,103.5,0,109.36,711,3.404,0.501,45.217,6.75,69.0,0.12,0.10,3.85,3.61,99,99,99,99,14.00,96.1,81.0,0.0,7.0,0.19,2,13.0,0.00,0.00,0.00,0.00
22361,103.5,0,216.39,738,4.816,0.501,63.555,7.88,69.0,0.12,0.10,4.12,3.88,99,99,99,99,28.75,96.1,81.0,0.0,12.5,0.19,2,13.2,0.00,0.00,0.00,0.00
22520,103.5,0,299.46,844,6.984,0.501,68.916,4.88,69.0,0.12,0.10,4.53,4.28,99,99,99,99,45.50,96.1,81.0,0.0,14.5,0.18,1,13.4,0.00,0.00,0.00,0.00
22682,103.5,0,287.08,1098,8.140,0.501,79.036,7.12,69.0,0.14,0.10,3.04,4.99,99,99,99,99,56.75,96.1,81.0,1.6,17.6,0.18,1,13.5,0.00,0.00,0.00,0.00
