Time (msec),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Knock sensor 1 (V),* Knock sensor 2 (V),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Lambda post cat heating 1 (%),* Lambda post cat heating 2 (%),* Lambda pre cat heating 1 (%),* Lambda pre cat heating 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
198,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
359,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
561,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
759,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
918,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1120,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1318,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1483,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1879,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2481,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2880,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3079,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3480,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
3881,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4482,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4681,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
4880,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5081,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5279,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5479,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5681,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
5879,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6280,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6479,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
6879,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7040,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7240,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7641,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
7840,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8039,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8239,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8640,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
8839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9040,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9241,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9640,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
9839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
10001,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
10199,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
10359,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
10521,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
10720,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
10920,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
11120,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
11319,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
11480,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
11679,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
11840,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
12039,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
12240,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
12440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
12641,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
12839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
13040,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
13200,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
13359,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
13520,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
13721,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
13920,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
14119,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
14279,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
14440,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
14639,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
14800,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
15001,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
15199,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
15360,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
15559,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
15759,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
15961,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
16160,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
16360,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
16561,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
16761,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
16959,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
17119,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
17321,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
17520,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
17720,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
17920,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
18120,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
18320,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
18520,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
18680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
18880,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
19040,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
19240,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
19441,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
19640,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
19839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
19999,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
20161,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
20359,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
20560,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
20761,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
20959,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
21121,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
21321,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
21520,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
21721,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
21921,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
22120,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
22319,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
22520,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
22720,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
22919,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
23080,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
23281,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
23480,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
23641,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
23839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
24000,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
24201,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
24400,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
24600,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
24801,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
24999,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
25161,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
25360,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
25519,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
25679,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
25839,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
26001,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
26200,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
26399,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
26600,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
26800,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
27001,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
27201,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
27400,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
27599,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
27801,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
27999,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
28160,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
28322,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
28519,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
28680,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
28840,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
29039,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
29199,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
29360,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
29561,89.2,0.00,0,0.000,6.00,69.0,0.14,0.14,0.00,0.00,0,0,0,0,0.00,82.6,54.0,0.0,0.0,0,0.00,0.00,0.00,0.00
