Time (msec),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Radiator outlet temperature (°C),* Throttle Position actual (°TPS),* Throttle Position pedal (°TPS),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
101920,57.8,227.58,1977,7.604,30.8,1.70,0.41,42.8,37.5,3.5,13.7,40,0.00,0.00,0.00,0.00
102080,57.8,226.46,1999,7.588,30.8,1.70,0.41,42.8,37.5,3.9,13.7,40,0.00,0.00,0.00,0.00
102280,57.8,228.03,2034,7.556,30.8,1.70,0.41,42.8,37.5,3.9,13.7,40,0.00,0.00,0.00,0.00
102480,57.8,224.36,2061,7.348,30.8,-1.54,-3.16,42.8,37.5,3.9,13.7,43,0.00,0.00,0.00,0.00
102680,57.8,221.88,2084,7.112,30.8,-3.80,-5.43,42.8,37.5,3.9,13.7,43,0.00,0.00,0.00,0.00
102840,57.8,224.64,2108,6.924,30.8,-5.63,-7.26,42.8,37.5,3.9,13.7,43,0.00,0.00,0.00,0.00
103002,57.8,220.19,2138,6.644,30.8,-7.46,-5.48,42.8,37.5,3.9,13.7,43,0.00,0.00,0.00,0.00
103200,57.8,190.48,2158,6.388,30.8,-5.01,-3.21,42.8,37.5,1.2,10.9,43,0.00,0.00,0.00,0.00
103400,57.8,127.12,2163,5.056,30.8,-3.50,-2.44,42.8,37.5,0.0,9.0,47,0.00,0.00,0.00,0.00
103600,57.8,115.29,2192,4.216,30.8,-3.50,-2.44,42.8,37.5,0.0,6.6,47,0.00,0.00,0.00,0.00
103800,57.8,78.06,2188,3.048,30.8,-3.50,-2.44,42.8,37.5,0.0,5.5,47,0.00,0.00,0.00,0.00
103999,57.8,73.97,2196,2.760,30.0,-3.50,-2.44,42.8,37.5,0.0,5.5,47,0.00,0.00,0.00,0.00
104160,57.8,76.64,2192,2.588,30.0,-3.50,-5.41,42.8,37.5,0.0,5.5,47,0.00,0.00,0.00,0.00
104321,57.8,74.14,2210,2.388,30.0,-6.50,-6.36,42.8,37.5,0.0,5.5,47,0.00,0.00,0.00,0.00
104520,57.8,74.55,2198,2.284,29.2,-7.66,-7.52,42.8,37.5,0.0,5.5,49,0.00,0.00,0.00,0.00
104679,57.8,75.80,2198,2.212,29.2,-8.54,-8.40,42.8,37.5,0.0,5.5,49,0.00,0.00,0.00,0.00
104839,57.8,73.17,2201,2.152,29.2,-9.42,-9.28,42.8,37.5,0.0,4.7,49,0.00,0.00,0.00,0.00
105002,58.5,62.53,2198,2.036,29.2,-10.30,-10.15,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
105199,58.5,53.84,2192,1.808,29.2,-11.40,-11.25,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
105360,58.5,52.81,2182,1.652,29.2,-12.28,-12.13,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
105520,58.5,52.93,2177,1.524,29.2,-13.16,-13.01,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
105720,58.5,53.42,2157,1.432,29.2,-14.25,-11.32,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
105881,58.5,53.50,2154,1.472,29.2,-11.36,-10.45,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
106080,58.5,53.10,2144,1.540,29.2,0.06,0.06,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
106243,58.5,51.41,2134,1.524,29.2,0.00,0.00,42.8,37.5,0.0,0.0,49,0.00,0.00,0.00,0.00
106440,58.5,53.12,2117,1.516,29.2,0.00,0.00,42.8,37.5,0.0,0.0,48,0.00,0.00,0.00,0.00
106601,58.5,53.02,2095,1.316,29.2,0.00,0.00,42.8,37.5,0.0,0.0,48,0.00,0.00,0.00,0.00
106762,58.5,52.66,2083,1.488,29.2,0.00,0.00,42.8,37.5,0.0,0.0,48,0.00,0.00,0.00,0.00
106962,58.5,51.89,2060,1.512,29.2,0.00,0.00,43.5,37.5,0.0,0.0,48,0.00,0.00,0.00,0.00
107161,58.5,52.89,2021,1.512,29.2,0.00,0.00,43.5,37.5,0.0,0.0,48,0.00,0.00,0.00,0.00
107360,58.5,51.56,1966,1.332,29.2,0.00,0.00,43.5,37.5,0.0,0.0,46,0.00,0.00,0.00,0.00
107520,58.5,49.05,1925,1.388,29.2,0.00,0.00,43.5,37.5,0.0,0.0,46,0.00,0.00,0.00,0.00
107680,58.5,47.27,1880,1.384,29.2,0.00,0.00,43.5,37.5,0.0,0.0,46,0.00,0.00,0.00,0.00
107881,58.5,44.80,1829,1.324,29.2,0.00,0.00,43.5,37.5,0.0,0.0,46,0.00,0.00,0.00,0.00
108080,58.5,44.44,1500,0.928,29.2,0.00,0.00,43.5,37.5,0.0,0.0,46,0.00,0.00,0.00,0.00
108280,58.5,51.03,1170,0.864,29.2,0.00,0.00,43.5,37.5,0.0,0.0,46,0.00,0.00,0.00,0.00
108441,58.5,80.99,943,1.872,29.2,0.00,0.02,43.5,37.5,0.0,0.0,41,0.00,0.00,0.00,0.00
108639,58.5,91.10,884,2.568,29.2,0.37,0.39,43.5,37.5,0.0,0.0,41,0.00,0.00,0.00,0.00
108800,58.5,1388.69,811,14.552,29.2,0.68,0.70,43.5,37.5,43.8,53.9,41,0.00,0.00,0.00,0.00
108961,58.5,348.89,1210,15.660,29.2,1.09,1.26,43.5,38.2,7.4,15.6,41,0.00,0.00,0.00,0.00
109160,58.5,102.96,1605,6.316,29.2,0.00,0.00,43.5,38.2,0.0,0.0,41,0.00,0.00,0.00,0.00
109361,58.5,43.46,1342,4.964,30.0,0.00,0.00,43.5,38.2,0.0,0.0,38,0.00,0.00,0.00,0.00
109561,58.5,52.55,1136,3.520,30.0,0.00,0.00,43.5,38.2,0.0,0.0,38,0.00,0.00,0.00,0.00
109760,58.5,52.21,1117,2.820,30.0,0.00,0.00,43.5,38.2,0.0,0.0,38,0.00,0.00,0.00,0.00
109961,58.5,49.33,1182,2.448,30.0,0.00,0.00,43.5,38.2,0.0,0.0,38,0.00,0.00,0.00,0.00
110160,58.5,50.14,1274,2.416,30.0,0.00,0.00,43.5,38.2,0.0,1.2,38,0.00,0.00,0.00,0.00
110360,58.5,48.21,1440,2.664,30.0,0.06,0.03,43.5,38.2,0.0,4.7,36,0.00,0.00,0.00,0.00
110560,58.5,60.56,1834,2.516,30.0,0.83,0.80,43.5,38.2,0.0,7.8,36,0.00,0.00,0.00,0.00
110721,58.5,68.89,2197,2.536,30.0,1.06,0.98,43.5,38.2,0.0,9.4,36,0.00,0.00,0.00,0.00
110880,58.5,87.62,2282,2.728,29.2,1.06,0.98,43.5,38.2,0.0,10.2,36,0.00,0.00,0.00,0.00
111080,58.5,95.25,2172,3.288,29.2,1.06,0.98,43.5,38.2,0.0,10.9,36,0.00,0.00,0.00,0.00
111240,58.5,100.14,2246,3.268,29.2,1.06,0.98,43.5,38.2,0.0,11.7,36,0.00,0.00,0.00,0.00
111400,58.5,106.03,2200,3.388,29.2,1.06,0.98,43.5,38.2,0.0,11.7,33,0.00,0.00,0.00,0.00
111560,58.5,111.29,2221,3.564,29.2,1.06,0.98,43.5,38.2,0.0,13.3,33,0.00,0.00,0.00,0.00
111720,58.5,125.72,2209,3.828,29.2,-2.18,-1.98,43.5,38.2,0.0,13.7,33,0.00,0.00,0.00,0.00
111922,58.5,127.14,2228,4.032,30.0,-3.62,-3.42,43.5,38.2,0.0,14.1,33,0.00,0.00,0.00,0.00
112120,58.5,126.80,2223,4.004,30.0,-5.08,-4.88,43.5,38.2,0.0,12.5,33,0.00,0.00,0.00,0.00
112280,58.5,99.19,2226,3.572,30.0,-6.25,-6.06,43.5,38.2,0.0,8.2,33,0.00,0.00,0.00,0.00
112441,58.5,78.89,2235,2.776,30.0,-7.36,-7.17,43.5,38.2,0.0,7.8,32,0.00,0.00,0.00,0.00
112640,58.5,79.63,2232,2.552,30.0,-8.68,-8.49,43.5,38.2,0.0,7.8,32,0.00,0.00,0.00,0.00
112841,58.5,81.45,2216,2.408,30.0,-9.88,-9.69,43.5,38.2,0.0,7.8,32,0.00,0.00,0.00,0.00
113040,58.5,82.41,2224,2.360,30.0,-11.07,-10.88,43.5,39.0,0.0,8.2,32,0.00,0.00,0.00,0.00
113199,58.5,90.57,2208,2.424,30.0,-9.89,-9.10,43.5,39.0,0.0,9.8,32,0.00,0.00,0.00,0.00
113360,58.5,107.73,2204,2.716,30.0,-8.92,-8.13,43.5,39.0,0.0,10.5,33,0.00,0.00,0.00,0.00
113519,58.5,110.57,2223,3.068,30.0,-7.84,-7.05,43.5,39.0,0.0,10.5,33,0.00,0.00,0.00,0.00
113680,58.5,118.20,2185,3.308,30.0,-6.75,-5.95,43.5,39.0,0.0,10.5,33,0.00,0.00,0.00,0.00
113841,58.5,115.93,2216,3.488,30.0,-5.66,-4.87,43.5,39.0,0.0,10.2,33,0.00,0.00,0.00,0.00
114000,59.2,100.91,2188,3.400,30.0,-4.56,-3.77,43.5,39.0,0.0,7.8,33,0.00,0.00,0.00,0.00
114160,59.2,89.32,2192,2.936,30.0,-3.95,-3.16,43.5,39.0,0.0,7.4,33,0.00,0.00,0.00,0.00
114361,59.2,88.93,2186,2.864,30.0,-3.95,-3.16,43.5,39.0,0.0,7.4,32,0.00,0.00,0.00,0.00
114560,59.2,90.44,2180,2.812,30.0,-3.95,-3.16,43.5,39.0,0.0,7.4,32,0.00,0.00,0.00,0.00
114760,59.2,90.76,2188,2.780,30.0,-3.95,-3.16,43.5,39.0,0.0,7.4,32,0.00,0.00,0.00,0.00
114920,59.2,89.42,2174,2.748,30.0,-3.95,-3.16,44.3,39.0,0.0,6.6,32,0.00,0.00,0.00,0.00
115080,59.2,80.54,2172,2.540,30.0,-6.96,-5.93,44.3,39.0,0.0,6.2,32,0.00,0.00,0.00,0.00
115240,59.2,74.50,2162,2.376,30.0,-7.91,-6.88,44.3,39.0,0.0,3.9,32,0.00,0.00,0.00,0.00
115400,59.2,68.08,2162,2.200,30.0,-8.82,-7.79,44.3,39.0,0.0,3.9,32,0.00,0.00,0.00,0.00
115561,59.2,66.66,2145,2.068,30.0,-9.70,-8.67,44.3,39.0,0.0,3.1,32,0.00,0.00,0.00,0.00
115760,59.2,63.00,2160,1.860,30.0,-10.80,-9.77,44.3,39.0,0.0,3.1,32,0.00,0.00,0.00,0.00
115921,59.2,62.26,2141,1.764,30.0,-11.68,-10.65,44.3,39.0,0.0,3.1,32,0.00,0.00,0.00,0.00
116081,59.2,62.47,2134,1.764,30.0,-9.77,-8.74,44.3,39.0,0.0,2.7,32,0.00,0.00,0.00,0.00
116280,59.2,62.87,2120,1.756,30.0,-8.67,-7.64,44.3,39.0,0.0,2.7,32,0.00,0.00,0.00,0.00
116440,59.2,61.87,2109,1.772,30.0,-7.79,-6.76,44.3,39.0,0.0,3.1,31,0.00,0.00,0.00,0.00
116600,59.2,63.91,2086,1.792,30.0,-6.91,-5.88,44.3,39.0,0.0,3.9,31,0.00,0.00,0.00,0.00
116799,59.2,71.98,2083,1.932,30.0,-5.82,-4.79,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
116959,59.2,73.64,2074,2.052,30.0,-5.00,-3.97,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
117120,59.2,73.93,2066,2.136,30.0,-4.20,-3.17,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
117320,59.2,74.78,2061,2.196,30.0,-3.19,-2.16,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
117520,59.2,74.19,2059,2.244,30.0,-2.18,-1.15,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
117680,59.2,73.87,2049,2.252,30.0,-1.73,-0.55,44.3,39.0,0.0,5.1,31,0.00,0.00,0.00,0.00
117840,59.2,74.69,2045,2.212,30.0,-1.73,-0.55,44.3,39.0,0.0,5.1,31,0.00,0.00,0.00,0.00
118001,59.2,72.87,2039,2.212,30.0,-1.73,-0.55,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
118162,59.2,71.79,2031,2.212,30.0,-1.73,-0.55,44.3,39.0,0.0,5.5,31,0.00,0.00,0.00,0.00
118360,59.2,73.61,2018,2.200,30.0,-1.73,-0.55,44.3,39.0,0.0,5.5,30,0.00,0.00,0.00,0.00
118561,59.2,74.06,2006,2.168,30.0,-4.21,-0.55,44.3,39.0,0.0,5.5,30,0.00,0.00,0.00,0.00
118761,59.2,76.41,1999,2.280,30.0,-5.21,-3.53,44.3,39.0,0.0,6.6,30,0.00,0.00,0.00,0.00
118961,59.2,105.10,1995,2.924,30.0,-3.69,-4.57,44.3,39.0,0.0,7.8,30,0.00,0.00,0.00,0.00
119121,59.2,104.64,2017,3.116,30.0,-2.80,-2.03,44.3,39.0,0.0,7.8,30,0.00,0.00,0.00,0.00
119281,59.2,106.06,1990,3.140,30.0,-2.33,-1.32,44.3,39.0,0.0,8.6,30,0.00,0.00,0.00,0.00
119439,59.2,140.38,2008,3.940,30.0,-2.33,-1.32,44.3,39.0,0.0,9.8,29,0.00,0.00,0.00,0.00
119601,59.2,143.77,2009,4.400,30.0,-2.33,-1.32,44.3,39.0,0.0,9.8,29,0.00,0.00,0.00,0.00
119800,59.2,141.44,2042,4.636,30.0,-2.33,-1.32,44.3,39.0,0.0,9.8,29,0.00,0.00,0.00,0.00
119959,59.2,130.06,2050,4.440,30.8,-2.33,-1.32,44.3,39.0,0.0,8.2,29,0.00,0.00,0.00,0.00
120120,59.2,103.09,2061,3.636,30.8,-5.39,-3.67,44.3,39.0,0.0,7.0,29,0.00,0.00,0.00,0.00
120280,59.2,96.24,2063,3.196,30.8,-6.40,-4.67,44.3,39.0,0.0,7.0,29,0.00,0.00,0.00,0.00
120480,59.2,94.27,2077,2.960,30.8,-7.68,-5.96,44.3,39.0,0.0,7.0,29,0.00,0.00,0.00,0.00
120641,59.2,93.32,2083,2.852,30.8,-8.70,-6.98,44.3,39.0,0.0,6.6,29,0.00,0.00,0.00,0.00
120840,59.2,94.74,2081,2.864,30.8,-6.73,-8.26,44.3,39.0,0.0,7.0,29,0.00,0.00,0.00,0.00
121000,59.2,98.75,2081,2.888,30.8,-5.74,-7.16,44.3,39.8,0.0,7.4,29,0.00,0.00,0.00,0.00
121160,59.2,101.18,2086,2.980,30.8,-4.72,-6.14,44.3,39.8,0.0,7.4,29,0.00,0.00,0.00,0.00
121361,59.2,101.50,2093,3.052,30.8,-3.44,-4.85,44.3,39.8,0.0,7.4,31,0.00,0.00,0.00,0.00
121562,59.2,105.95,2097,3.148,30.8,-2.16,-3.57,44.3,39.8,0.0,8.2,31,0.00,0.00,0.00,0.00
121760,59.2,112.46,2099,3.400,30.8,-1.13,-2.29,44.3,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
121962,59.2,120.72,2105,3.608,30.8,-1.13,-1.01,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
122161,59.2,119.55,2114,3.764,30.8,-1.13,0.04,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
122361,59.2,121.91,2130,3.764,30.8,-1.13,0.04,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
122520,59.2,119.11,2145,3.692,30.8,-3.41,0.04,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
122680,59.2,119.26,2154,3.620,30.8,-4.51,0.04,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
122880,59.2,118.39,2170,3.560,30.8,-5.88,0.04,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
123040,59.2,117.27,2179,3.500,30.8,-6.98,-2.92,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
123200,59.2,117.03,2195,3.592,30.8,-4.22,-4.02,45.1,39.8,0.0,8.6,31,0.00,0.00,0.00,0.00
123360,59.2,116.93,2209,3.632,30.8,-3.13,-5.12,45.1,39.8,0.0,8.6,32,0.00,0.00,0.00,0.00
123522,59.2,117.75,2217,3.636,30.8,-2.23,-6.22,45.1,39.8,0.0,8.6,32,0.00,0.00,0.00,0.00
123721,59.2,116.86,2234,3.624,30.8,-2.23,-4.70,45.1,39.8,0.0,8.6,32,0.00,0.00,0.00,0.00
123880,59.2,116.91,2245,3.608,30.8,-2.23,-3.60,45.1,39.8,0.0,8.6,32,0.00,0.00,0.00,0.00
124081,59.2,116.48,2265,3.580,30.8,-2.23,-2.15,45.1,39.8,0.0,8.6,32,0.00,0.00,0.00,0.00
124280,59.2,114.91,2284,3.516,30.8,-4.48,-2.08,45.1,39.8,0.0,8.6,32,0.00,0.00,0.00,0.00
124480,59.2,114.11,2300,3.424,30.8,-5.95,-2.08,45.1,39.8,0.0,8.6,33,0.00,0.00,0.00,0.00
124680,59.2,113.81,2318,3.352,30.8,-7.41,-2.08,45.1,39.8,0.0,8.6,33,0.00,0.00,0.00,0.00
124840,59.2,112.99,2335,3.380,30.8,-5.34,-2.08,45.1,39.8,0.0,8.6,33,0.00,0.00,0.00,0.00
125001,59.2,111.82,2347,3.392,30.8,-4.17,-4.98,45.1,39.8,0.0,8.6,33,0.00,0.00,0.00,0.00
125199,59.2,111.69,2362,3.440,30.8,-2.70,-6.45,45.1,39.8,0.0,8.2,33,0.00,0.00,0.00,0.00
125360,59.2,108.94,2371,3.432,30.8,-2.26,-4.23,45.9,39.8,0.0,8.2,35,0.00,0.00,0.00,0.00
125520,59.2,104.42,2380,3.344,30.8,-2.26,-3.06,45.9,39.8,0.0,7.4,35,0.00,0.00,0.00,0.00
125680,59.2,76.81,2386,3.024,30.8,-2.26,-2.69,45.9,39.8,0.0,0.0,35,0.00,0.00,0.00,0.00
125840,59.2,56.17,2373,2.156,30.8,-2.26,-2.69,45.9,39.8,0.0,0.0,35,0.00,0.00,0.00,0.00
126000,60.0,53.80,2374,1.968,30.8,-2.26,-2.69,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
126160,60.0,54.71,2385,1.792,30.8,-5.09,-2.69,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
126321,60.0,55.73,2367,1.700,30.8,-6.04,-2.69,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
126481,60.0,55.54,2350,1.656,30.8,-7.00,-5.34,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
126641,60.0,55.07,2345,1.600,30.8,-7.95,-6.30,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
126841,60.0,56.47,2311,1.632,30.8,0.00,0.00,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
127000,60.0,56.24,2296,1.632,30.8,0.00,0.00,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
127161,60.0,55.67,2270,1.616,30.8,0.00,0.00,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
127321,60.0,55.01,2246,1.596,30.8,0.00,0.00,45.9,40.5,0.0,0.0,35,0.00,0.00,0.00,0.00
127521,60.0,54.25,2227,1.588,30.8,0.00,0.00,45.9,40.5,0.0,0.0,34,0.00,0.00,0.00,0.00
127681,60.0,53.74,2196,1.668,30.8,0.00,0.00,45.9,40.5,0.0,1.6,34,0.00,0.00,0.00,0.00
127881,60.0,60.69,2196,1.744,30.8,2.57,0.50,45.9,40.5,0.0,2.7,34,0.00,0.00,0.00,0.00
128080,60.0,60.54,2202,1.856,30.8,3.66,1.59,45.9,40.5,0.0,2.7,34,0.00,0.00,0.00,0.00
128280,60.0,61.62,2163,1.904,30.8,4.10,2.69,45.9,40.5,0.0,2.7,34,0.00,0.00,0.00,0.00
128440,60.0,61.11,2181,1.908,30.8,4.10,2.75,45.9,40.5,0.0,2.7,32,0.00,0.00,0.00,0.00
128600,60.0,61.71,2160,1.928,30.8,4.10,2.75,45.9,40.5,0.0,2.7,32,0.00,0.00,0.00,0.00
128760,60.0,61.60,2164,1.928,30.8,4.10,2.75,45.9,40.5,0.0,2.7,32,0.00,0.00,0.00,0.00
128921,60.0,60.79,2147,1.928,30.8,4.10,2.75,45.9,40.5,0.0,2.7,32,0.00,0.00,0.00,0.00
129121,60.0,61.83,2156,1.892,30.8,1.76,2.75,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
129322,60.0,62.02,2149,1.880,30.8,0.66,0.41,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
129520,60.0,61.83,2133,1.876,30.8,-0.43,-0.69,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
129721,60.0,62.11,2124,1.852,30.8,-1.53,-1.79,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
129921,60.0,61.45,2124,1.828,30.8,-2.63,-2.89,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
130121,60.0,61.05,2115,1.804,30.8,-3.73,-3.99,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
130320,60.0,61.20,2110,1.788,30.8,-4.83,-5.09,45.9,41.2,0.0,2.7,32,0.00,0.00,0.00,0.00
130519,60.0,61.51,2099,1.760,30.8,-5.93,-2.63,45.9,41.2,0.0,2.7,31,0.00,0.00,0.00,0.00
130680,60.0,61.26,2085,1.744,30.8,-6.81,-1.75,45.9,41.2,0.0,2.7,31,0.00,0.00,0.00,0.00
130880,60.0,61.26,2085,1.780,30.8,-4.87,-0.71,45.9,41.2,0.0,3.5,31,0.00,0.00,0.00,0.00
131040,60.0,62.34,2071,1.820,30.8,-4.05,-0.50,45.9,41.2,0.0,3.5,31,0.00,0.00,0.00,0.00
131241,60.0,62.62,2062,1.844,30.8,-3.05,-0.50,45.9,41.2,0.0,3.5,31,0.00,0.00,0.00,0.00
131400,60.0,62.96,2051,1.860,30.8,-2.74,-0.50,45.9,41.2,0.0,3.5,31,0.00,0.00,0.00,0.00
131561,60.0,63.97,2040,1.868,30.8,-2.74,-0.50,45.9,41.2,0.0,3.5,31,0.00,0.00,0.00,0.00
131760,60.0,63.63,2029,1.876,30.8,-2.74,-0.50,45.9,41.2,0.0,3.5,31,0.00,0.00,0.00,0.00
131961,60.0,63.15,2023,1.876,30.8,-2.74,-2.83,45.9,42.0,0.0,3.5,31,0.00,0.00,0.00,0.00
132160,60.0,62.24,2008,1.860,30.8,-2.74,-3.83,45.9,42.0,0.0,3.5,31,0.00,0.00,0.00,0.00
132321,60.0,63.72,1983,1.800,30.8,-5.32,-4.64,45.9,42.0,0.0,3.5,31,0.00,0.00,0.00,0.00
132520,60.0,62.64,1973,1.784,30.8,-6.33,-3.32,46.7,42.0,0.0,3.5,29,0.00,0.00,0.00,0.00
132681,60.0,62.21,1964,1.804,30.8,-4.81,-2.52,46.7,42.0,0.0,3.5,29,0.00,0.00,0.00,0.00
132880,60.0,60.58,1948,1.764,30.8,-3.81,-1.51,46.7,42.0,0.0,0.0,29,0.00,0.00,0.00,0.00
133040,60.0,49.71,1927,1.736,30.8,-3.05,-1.36,46.7,42.0,0.0,0.0,29,0.00,0.00,0.00,0.00
133201,60.0,47.97,1910,1.632,30.8,-2.68,-1.36,46.7,42.0,0.0,0.0,29,0.00,0.00,0.00,0.00
133361,60.0,46.11,1897,1.556,30.8,-2.68,-1.36,46.7,42.0,0.0,0.0,28,0.00,0.00,0.00,0.00
133561,60.0,45.26,1871,1.444,30.8,-2.68,-1.36,46.7,42.0,0.0,0.0,28,0.00,0.00,0.00,0.00
133720,60.0,45.52,1830,1.388,30.8,-2.68,-1.36,46.7,42.0,0.0,0.0,28,0.00,0.00,0.00,0.00
133880,60.0,44.97,1822,1.292,30.8,0.00,0.00,46.7,42.0,0.0,0.0,28,0.00,0.00,0.00,0.00
134042,60.0,43.52,1786,1.268,30.8,0.00,0.00,46.7,42.0,0.0,0.0,28,0.00,0.00,0.00,0.00
134241,60.0,41.13,1755,1.220,30.8,0.00,0.00,46.7,42.0,0.0,0.0,28,0.00,0.00,0.00,0.00
134441,60.0,41.70,1731,1.200,30.8,0.00,0.00,46.7,42.0,0.0,0.0,27,0.00,0.00,0.00,0.00
134641,60.0,40.71,1705,1.160,30.8,0.00,0.00,46.7,42.0,0.0,0.0,27,0.00,0.00,0.00,0.00
134841,60.0,40.81,1667,0.900,30.8,0.00,0.00,46.7,42.0,0.0,0.0,27,0.00,0.00,0.00,0.00
135040,60.8,40.88,1630,1.144,30.8,0.00,0.00,46.7,42.0,0.0,1.2,27,0.00,0.00,0.00,0.00
135200,60.8,49.84,1616,1.276,30.8,0.22,0.18,46.7,42.0,0.0,3.5,27,0.00,0.00,0.00,0.00
135360,60.8,60.60,1581,1.480,30.8,0.81,0.77,46.7,42.0,0.0,4.7,24,0.00,0.00,0.00,0.00
135561,60.8,71.35,1557,1.760,30.8,1.54,1.50,46.7,42.0,0.0,5.5,24,0.00,0.00,0.00,0.00
135721,60.8,77.79,1553,2.048,30.8,2.12,2.09,46.7,42.0,0.0,6.6,24,0.00,0.00,0.00,0.00
135880,60.8,90.16,1540,2.388,30.8,2.71,2.67,46.7,42.0,0.0,7.0,24,0.00,0.00,0.00,0.00
136040,60.8,104.95,1548,3.368,30.8,3.30,3.26,46.7,42.0,0.0,8.2,24,0.00,0.00,0.00,0.00
136200,60.8,121.33,1568,3.896,30.8,3.67,3.76,46.7,42.0,0.0,9.0,24,0.00,0.00,0.00,0.00
136362,60.8,142.31,1532,4.500,30.8,3.67,3.76,46.7,42.0,0.0,9.8,23,0.00,0.00,0.00,0.00
136562,60.8,274.20,1570,7.404,30.8,3.67,3.76,46.7,42.0,2.0,13.3,23,0.00,0.00,0.00,0.00
136761,60.8,263.46,1576,8.824,30.8,3.67,3.76,46.7,42.0,2.3,13.7,23,0.00,0.00,0.00,0.00
136922,60.8,242.56,1643,8.920,30.8,3.67,3.76,46.7,42.0,2.3,13.7,23,0.00,0.00,0.00,0.00
137121,60.8,241.71,1666,8.420,30.8,-0.03,0.24,46.7,42.8,2.3,13.7,23,0.00,0.00,0.00,0.00
137320,60.8,225.46,1706,7.924,30.8,-1.92,-1.65,46.7,42.8,1.2,12.1,23,0.00,0.00,0.00,0.00
137481,60.8,184.42,1762,6.736,31.5,-3.39,-3.12,46.7,42.8,0.4,10.5,24,0.00,0.00,0.00,0.00
137640,60.8,134.20,1759,5.492,31.5,-4.74,-4.47,46.7,42.8,0.0,8.6,24,0.00,0.00,0.00,0.00
137800,60.8,116.88,1794,4.612,31.5,-5.94,-5.67,46.7,42.8,0.0,7.4,24,0.00,0.00,0.00,0.00
137960,60.8,103.68,1808,3.984,31.5,-7.01,-6.74,46.7,42.8,0.0,7.4,24,0.00,0.00,0.00,0.00
138161,60.8,102.84,1823,3.448,31.5,-8.17,-7.90,46.7,42.8,0.0,7.4,24,0.00,0.00,0.00,0.00
138361,60.8,99.61,1840,3.168,30.8,-9.26,-8.99,46.7,42.8,0.0,7.0,27,0.00,0.00,0.00,0.00
138561,60.8,92.07,1855,2.996,30.8,-6.87,-10.00,46.7,42.8,0.0,6.6,27,0.00,0.00,0.00,0.00
138761,60.8,91.33,1855,2.892,30.8,-5.86,-7.41,46.7,42.8,0.0,6.6,27,0.00,0.00,0.00,0.00
138961,60.8,88.40,1869,2.820,30.8,-4.86,-6.40,47.5,42.8,0.0,6.6,27,0.00,0.00,0.00,0.00
139161,60.8,91.18,1873,2.804,30.8,-3.85,-5.39,47.5,42.8,0.0,7.0,27,0.00,0.00,0.00,0.00
